t_date,base_beta,base_Xty,base_train_rows,base_train_rows_used,base_fill_ratio,base_n_test,base_ic_model,base_ic_base,clean_beta,clean_Xty,clean_train_rows,clean_train_rows_used,clean_fill_ratio,clean_n_test,clean_ic_model,clean_ic_base,rank_beta,rank_Xty,rank_train_rows,rank_train_rows_used,rank_fill_ratio,rank_n_test,rank_ic_model,rank_ic_base,ref_n_test,ref_ic_model,ref_ic_base,ref_alpha,sign_flip,ic_opposite,ref_opposite
2014-03-31,0.0021857699631968827,57.34519614849193,26638,26638,0.015729409114798407,605,0.20327565568116113,0.20327565568116113,0.0022397351087010066,58.721377319658075,26219,26219,0.015729409114798407,605,0.20327565568116113,0.20327565568116113,0.0062347196998934675,166.07423488078203,26638,26638,0.015729409114798407,605,0.20327565568116113,0.20327565568116113,605,0.2032756556811611,0.2032756556811611,0.001,False,False,False
2014-04-30,0.002133884404662456,57.18116874332425,27217,27217,0.016056141382224345,611,0.28433755729760984,0.28433755729760984,0.0021860796353314915,58.54102874062163,26780,26780,0.016056141382224345,611,0.28433755729760984,0.28433755729760984,0.0060046745285635235,163.42322797405944,27217,27217,0.016056141382224345,611,0.28433755729760984,0.28433755729760984,611,0.2843375572976098,0.2843375572976098,0.001,False,False,False
2014-05-30,0.0021798386581189087,59.66740977825155,27803,27803,0.01607740171923893,621,0.0014906646182492546,0.0014906646182492546,0.002230916717167686,61.026729029038776,27356,27356,0.01607740171923893,621,0.0014906646182492546,0.0014906646182492546,0.006073850186349844,168.86518895474842,27803,27803,0.01607740171923893,621,0.0014906646182492546,0.0014906646182492546,621,0.0014906646182492,0.0014906646182492,0.001,False,False,False
2014-06-30,0.0021890431416458833,61.197004013365,28390,28390,0.01585065163790067,629,-0.1949880244747236,-0.1949880244747236,0.0022405595134820416,62.598994487734295,27940,27940,0.01585065163790067,629,-0.1949880244747236,-0.1949880244747236,0.005996251033996583,170.2275766003801,28390,28390,0.01585065163790067,629,-0.1949880244747236,-0.1949880244747236,629,-0.1949880244747236,-0.1949880244747236,0.001,False,False,False
2014-07-31,0.0022627815674274333,64.5825124024746,28986,28986,0.015904229628096324,646,0.14005018593545226,0.14005018593545226,0.002314594988667616,66.02150977135007,28525,28525,0.015904229628096324,646,0.14005018593545226,0.14005018593545226,0.006062427260712351,175.7194602141748,28986,28986,0.015904229628096324,646,0.14005018593545226,0.14005018593545226,646,0.1400501859354522,0.1400501859354522,0.001,False,False,False
2014-08-29,0.0020786020709538987,60.560171268540785,29586,29586,0.015784492665449876,655,0.01803727630034897,0.01803727630034897,0.0021313871654127696,62.061733613876186,29119,29119,0.015784492665449876,655,0.01803727630034897,0.01803727630034897,0.005514222742999665,163.1382853658679,29586,29586,0.015784492665449876,655,0.01803727630034897,0.01803727630034897,655,0.0180372763003489,0.0180372763003489,0.001,False,False,False
2014-09-30,0.0019644907185716346,58.40847813874724,30191,30191,0.015733165512901194,666,0.025880638221836047,0.025880638221836047,0.002016672185172296,59.92541599906697,29716,29716,0.015733165512901194,666,0.025880638221836047,0.025880638221836047,0.005176537753083688,156.2796799421343,30191,30191,0.015733165512901194,666,0.025880638221836047,0.025880638221836047,666,0.025880638221836,0.025880638221836,0.001,False,False,False
2014-10-31,0.0020383585550337075,61.838043356504926,30803,30803,0.01564782651040483,673,-0.08119791295956745,-0.08119791295956745,0.0020894865883574676,63.35323544848505,30321,30321,0.01564782651040483,673,-0.08119791295956745,-0.08119791295956745,0.005379300339830954,165.6932144467734,30803,30803,0.01564782651040483,673,-0.08119791295956745,-0.08119791295956745,673,-0.0811979129595674,-0.0811979129595674,0.001,False,False,False
2014-11-28,0.0021575306215339115,66.77188952436211,31423,31423,0.015625497247239283,683,0.18566527696079485,0.18566527696079485,0.002208243179307459,68.30317198740218,30932,30932,0.015625497247239283,683,0.18566527696079485,0.18566527696079485,0.005724900169194902,179.88781884134238,31423,31423,0.015625497247239283,683,0.18566527696079485,0.18566527696079485,683,0.1856652769607948,0.1856652769607948,0.001,False,False,False
2014-12-31,0.002159492172711288,68.1741437735659,32050,32050,0.015507020280811232,695,-0.058924280629158596,-0.058924280629158596,0.0022136036126794447,69.84362340086543,31553,31553,0.015507020280811232,695,-0.058924280629158596,-0.058924280629158596,0.005627024627472759,180.34051791289914,32050,32050,0.015507020280811232,695,-0.058924280629158596,-0.058924280629158596,695,-0.0589242806291585,-0.0589242806291585,0.001,False,False,False
