factor_set,variant,t_date,regime,r_gross,r_net,pool_ret,pool_ret_net,nav_gross,nav_net
size,orig_all,2015-12-31,bull,0.04159398245903154,0.040465588978034095,0.034793600637231255,0.03461851182297759,3.2924465187124503,2.9402273421171805
size,orig_all,2016-01-29,mix,-0.22828900499233049,-0.22912502523692213,-0.20336814959161117,-0.203638980057799,2.5408171789651224,2.266547678152293
size,orig_all,2016-02-29,mix,-0.01790513943804026,-0.01896907553698235,-0.017354311028180528,-0.017552273172559807,2.4953234930891837,2.2235533640372505
size,orig_all,2016-03-31,mix,0.13271122191521043,0.13148411809146898,0.11099033292873164,0.11071543039435472,2.8264809229307803,2.5159153171370074
size,orig_all,2016-04-29,mix,-0.010271364634593853,-0.011343570656239699,-0.011414223806501818,-0.01174529060349394,2.7974491067386347,2.487375853971948
size,orig_all,2016-05-31,bear,0.004259216603610213,0.003171269118956266,0.0017799843945536119,0.0013535139952918218,2.80936404842181,2.4952639922048867
size,orig_all,2016-06-30,bear,0.034766657183180526,0.033645659971232256,0.03822296711128016,0.03764724188633406,2.9070362451960436,2.5792187960250716
size,orig_all,2016-07-29,bear,0.0017588701557382548,0.0006736313797361948,-0.001349981174338771,-0.001688903474772463,2.9121493444893685,2.5809562387412797
size,orig_all,2016-08-31,bear,0.020235687429669347,0.019130432101620576,0.019018221799253613,0.018813310354274027,2.971078688372972,2.6303310468237737
size,orig_all,2016-09-30,mix,-0.0005577083803984743,-0.0016404375296530382,-0.008042168216531774,-0.008180405646148858,2.969421692889643,2.6260161530591524
size,orig_all,2016-10-31,mix,0.014126814323333556,0.013028176941149994,0.013386264918724685,0.013311314345967773,3.0113701617927737,2.660228356151525
size,orig_all,2016-11-30,mix,0.009747453501791159,0.008653560427164253,0.00922253741500714,0.00908498006760916,3.04072335242153,2.6832488029815385
size,orig_all,2016-12-30,mix,-0.02959303436673059,-0.030644308579499957,-0.036242258068097666,-0.03643805262811328,2.9507391217535996,2.6010224986673984
size,orig_all,2017-01-26,mix,-0.005909414795442815,-0.006986346262747745,-0.0033888821805812923,-0.0035455085137007236,2.933301980330017,2.582850854854511
size,orig_all,2017-02-28,mix,0.028517591718640645,0.027403364327612145,0.021351000130490013,0.02115753037801693,3.0169526885925486,2.6536296578339735
