t_date,r_mom,r_pool,w_mom,r_vt_mom,cost_vt_mom,turn_vt_mom,w_pool,r_vt_pool,cost_vt_pool,turn_vt_pool
2010-09-30,0.030569459189358383,0.02396859025131981,0.7540999589487757,0.02317415967282172,0.0002843921569013278,0.18959477126755186,0.7798944559152752,0.018722769154392055,0.0003337236997764867,0.2224824665176578
2010-10-29,0.056907508552387354,0.0680494877532265,0.7662623380680066,0.0439738737403,1.8243568678846355e-05,0.012162379119230904,0.8009090767055629,0.05479874532183284,3.1521931185431564e-05,0.021014620790287708
2010-11-30,0.024269221334468627,0.0013950458642280061,0.786612356402169,0.01941237139667791,3.052502750124359e-05,0.02035001833416239,0.8067266155997675,0.001435901028148069,8.726308341306998e-06,0.005817538894204666
2010-12-31,-0.015475886542781314,-0.009027724851828456,0.8399385917744254,-0.012814429273278525,7.998935305838467e-05,0.05332623537225645,0.8563283558780169,-0.007567813989054746,7.440261041737406e-05,0.04960174027824937
2011-01-31,-0.059886633029097136,-0.05025821979058431,0.8336614745456294,-0.04968184278432467,3.13855861439799e-05,0.006277117228795981,0.8542988242690106,-0.042705048397489634,1.0147658045031593e-05,0.0020295316090063187
2011-02-28,0.056128328309174025,0.05319079854404096,0.8421979918007216,0.047518983455382705,1.2804775882638287e-05,0.00853651725509219,0.8876557526144504,0.0473506285796164,5.00353925181597e-05,0.033356928345439796
2011-03-31,-0.03693140197265998,-0.02861372450758448,0.8160310899225435,-0.029964167101489615,0.0001308345093908908,0.02616690187817816,0.8584079442567905,-0.024474636682108107,0.00014623904178829973,0.029247808357659943
2011-04-29,-0.025149399080049206,-0.021792575695352867,0.7938105757812928,-0.01973442293730032,0.00011110257070625352,0.022220514141250702,0.8416835965145963,-0.0181646028155084,8.362173871097056e-05,0.016724347742194112
2011-05-31,-0.05714827402456679,-0.052723291842755815,0.8163943210273616,-0.04638616228172334,3.387561786910332e-05,0.022583745246068876,0.8670801276099085,-0.04553388543978103,3.809479664296822e-05,0.025396531095312147
2011-06-30,0.03357467984272455,0.028123434622672416,0.8034138475838504,0.027234138360168674,6.490236721755638e-05,0.012980473443511276,0.8523949987903309,0.024142631037142717,7.34256440978881e-05,0.01468512881957762
2011-07-29,0.011966467714048523,0.005416395121179418,0.8697198797166453,0.010523184023368116,9.945904819919244e-05,0.06630603213279496,0.9322078908591322,0.005041451113745949,0.00011971933810320208,0.07981289206880138
2011-08-31,-0.021923174848949456,-0.021472411001218772,0.9866710081899669,-0.02178437381000097,0.00017542669270998235,0.11695112847332156,1.0,-0.021574099164930072,0.00010168816371130163,0.06779210914086775
2011-09-30,-0.09861982512351053,-0.09424869384276235,1.0,-0.09863981861122557,1.9993487715049665e-05,0.013328991810033108,1.0,-0.09424869384276235,-0.0,0.0
2011-10-31,0.030130630907491796,0.03028342852387933,0.889209315730667,0.02642146409300358,0.0005539534213466652,0.11079068426933303,0.945580059344413,0.028453185393922546,0.0002720997032779349,0.054419940655586974
2011-11-30,-0.028380153476032954,-0.02830992991954684,0.9448300338448393,-0.026806734761923773,8.343107717125853e-05,0.05562071811417235,1.0,-0.028391559830530218,8.162991098338046e-05,0.054419940655586974
2011-12-30,-0.0670744851524897,-0.07077332622258525,0.9750589611062958,-0.06540572904693115,4.5343390892184645e-05,0.03022892726145643,1.0,-0.07077332622258525,-0.0,0.0
2012-01-31,-0.016262579709953595,-0.016124602204232064,0.9287572487853908,-0.015217834155370742,0.00023150856160452483,0.046301712320904964,0.9895581664944219,-0.015991195423224108,5.220916752789073e-05,0.010441833505578146
2012-02-29,0.05402801809301194,0.06797037792033733,0.9607530701430483,0.05192441002007842,4.7993732036486326e-05,0.03199582135765755,1.0,0.06795471517007896,1.566275025836722e-05,0.010441833505578146
2012-03-30,-0.03119312084638648,-0.04270909401521572,0.9674577963732158,-0.030134338950360457,1.0057089345251236e-05,0.00670472623016749,0.9587987117772682,-0.04108738348683304,0.00020600644111365917,0.041201288222731836
