t_date,n,partial_ic
2019-03-29,2000,0.08474525146764847
2019-04-30,2190,0.06839104162151138
2019-05-31,2222,0.08387006765490486
2019-06-28,2244,0.09765766848973113
2019-07-31,2267,0.0967883590740906
2019-08-30,1693,0.07923596072599315
2019-09-30,2315,-0.06930955605019688
2019-10-31,2361,-0.09783991400312723
2019-11-29,2377,-0.1586331599567716
2019-12-31,2390,-0.14322187303803888
2020-01-23,2412,-0.0839104011900315
2020-02-28,2432,-0.07502308521239875
2020-03-31,2446,-0.04678381409264983
2020-04-30,2483,-0.10926034329904889
2020-05-29,2503,-0.10821998256677186
2020-06-30,2510,-0.11050202481688852
2020-07-31,2522,-0.09970109320010272
2020-08-31,2539,-0.02347447045170519
2020-09-30,2556,-0.03966286176930259
2020-10-30,2593,-0.0003523678577609518
2020-11-30,2602,-0.027930093993262264
2020-12-31,2611,-0.04932128167174623
2021-01-29,2635,-0.010082806898733629
2021-02-26,2656,-0.026490216418519657
2021-03-31,2657,-0.00926470191976809
2021-04-30,2696,-0.0021187922582653245
2021-05-31,2747,-0.008894224745487938
2021-06-30,2800,0.005542692567887016
2021-07-30,2843,0.0843038288096162
2021-08-31,2873,0.15342510691825967
2021-09-30,2897,0.1332655350776942
2021-10-29,2984,0.13532213965490725
2021-11-30,3037,0.1562746064797854
2021-12-31,3068,0.13076128273793944
2022-01-28,3107,0.02925793659815233
2022-02-28,3149,-0.008809669184241198
2022-03-31,3224,-0.05033944706203114
2022-04-29,3293,0.13174277339853194
2022-05-31,3365,0.056016897126124184
2022-06-30,3437,-0.08999085616553824
2022-07-29,3495,-0.003249814470139604
2022-08-31,3584,-0.06860491349324563
2022-09-30,3654,-0.002990336101147278
2022-10-31,3758,-0.015385428878170923
2022-11-30,3830,-0.06681359069709959
2022-12-30,3893,-0.05254173445779347
2023-01-31,3925,-0.14315924017766818
2023-02-28,3978,-0.1815214217748716
2023-03-31,4060,-0.2659079991690254
2023-04-28,4154,-0.19880424197013544
2023-05-31,4194,-0.2010714750266138
2023-06-30,4238,-0.19886720707804303
2023-07-31,4247,-0.25013529843319693
2023-08-31,4308,-0.06718728760093859
2023-09-28,4331,-0.12030133182046363
2023-10-31,4363,-0.03119146369551847
2023-11-30,4387,-0.07424129813922249
2023-12-29,4413,-0.052782895646984934
2024-01-31,4446,0.047558255051195424
2024-02-29,4456,-0.10860289759338546
2024-03-29,4467,0.10283085122608455
2024-04-30,4516,0.007768818238340675
2024-05-31,4535,-0.024602817292753633
2024-06-28,4563,-0.030854867033237046
2024-07-31,4596,0.001579899226758401
2024-08-30,4595,0.03572270652552809
2024-09-30,4595,-0.11015862481752217
2024-10-31,4626,-0.042905481009934
2024-11-29,4640,-0.02148502725540575
2024-12-31,4659,0.042252791745995555
2025-01-27,4657,0.07110044226603925
2025-02-28,4676,0.06823747767677618
