t_date,n,partial_ic
2013-09-30,556,-0.13477601330894304
2013-10-31,571,-0.16806840203227139
2013-11-29,577,-0.12415193630478993
2013-12-31,578,-0.23354241921500848
2014-01-30,587,-0.21127016077155322
2014-02-28,590,-0.16613220155006406
2014-03-31,597,-0.1368487451609772
2014-04-30,603,-0.20155591185737512
2014-05-30,612,-0.27666818434648777
2014-06-30,620,-0.24141249021238095
2014-07-31,636,-0.1384206287402795
2014-08-29,645,-0.1311626895293802
2014-09-30,656,-0.03996022202693276
2014-10-31,663,0.00834842847618129
2014-11-28,673,0.138692680678859
2014-12-31,685,0.10378635338897513
2015-01-30,695,0.08945642130751703
2015-02-27,703,-0.017572591529808692
2015-03-31,710,-0.07760056834455686
2015-04-30,727,-0.07418711338149495
2015-05-29,745,-0.04442786803600295
2015-06-30,759,-0.07199468368088183
2015-07-31,777,-0.07106774950818122
2015-08-31,785,0.017047596670950474
2015-09-30,797,-0.0670507198807818
2015-10-30,812,0.019214237791641112
2015-11-30,824,0.05762747286344751
2015-12-31,840,0.05024233523950127
2016-01-29,859,-0.04279539920962753
2016-02-29,866,-0.02300207263848024
2016-03-31,898,-0.034571386950716876
2016-04-29,927,-0.024385746303513117
2016-05-31,994,-0.0800109166685586
2016-06-30,1077,-0.12126457375548849
2016-07-29,1152,-0.18626056053386
2016-08-31,1185,-0.14044974017619735
2016-09-30,1217,-0.17455726562138776
2016-10-31,1239,-0.14736449933890364
2016-11-30,1259,-0.07307067590268669
2016-12-30,1293,-0.07157889045999552
2017-01-26,1314,-0.09305258216733044
2017-02-28,1352,-0.06335999567654625
2017-03-31,1395,-0.08486148256865542
2017-04-28,1425,-0.038790769105606096
2017-05-31,1455,-0.034732275010974326
2017-06-30,1495,-0.03815903866534911
2017-07-31,1536,0.0018063993026193198
2017-08-31,1581,0.07940030600930038
2017-09-29,1617,0.04735828292834952
2017-10-31,1655,0.0019045900222396325
2017-11-30,1693,0.01152847966915269
2017-12-29,1743,-0.045247747010230197
2018-01-31,1804,-0.03554218610682056
2018-02-28,1837,-0.07586070792756659
2018-03-30,1878,-0.10884795605119524
2018-04-27,1910,-0.15245818912407147
2018-05-31,1945,-0.12742871754318189
2018-06-29,1987,-0.17326235596359232
2018-07-31,2017,-0.14107508243362624
2018-08-31,2044,0.04969279702964372
2018-09-28,2068,0.09610675398555579
2018-10-31,2085,0.14860198135740416
2018-11-30,2098,0.10522823087701032
2018-12-28,2120,0.1499439148538274
2019-01-31,2157,0.14891564846441094
2019-02-28,2170,0.1993563064263956
2019-03-29,2235,0.16919590615123045
2019-04-30,2269,0.22019322494653026
2019-05-31,2306,0.22944075088085075
2019-06-28,2330,0.23538445422239973
2019-07-31,2353,0.2247598241339083
2019-08-30,2388,0.08844845306694907
2019-09-30,2410,0.045903783590720844
2019-10-31,2443,0.01846365975864186
2019-11-29,2461,0.028616800628304722
2019-12-31,2473,-0.0014372001423952458
2020-01-23,2495,0.05470525831329006
2020-02-28,2517,0.10205369905682989
2020-03-31,2542,0.12422380881820236
2020-04-30,2574,0.0819051092655045
2020-05-29,2597,0.036887374399188565
2020-06-30,2606,0.026758759553918023
2020-07-31,2617,0.02909360794935373
2020-08-31,2642,0.004106919074099564
2020-09-30,2664,-0.04595112052416523
2020-10-30,2680,-0.06899284697999297
2020-11-30,2687,-0.00418262909133615
2020-12-31,2699,-0.04425167379266037
2021-01-29,2724,-0.03575631201907341
2021-02-26,2753,-0.0243229037368279
2021-03-31,2769,-0.028317299144452603
2021-04-30,2798,-0.053780019723592885
2021-05-31,2851,-0.05735208687084531
2021-06-30,2910,-0.048857979869453026
2021-07-30,2968,-0.037124273609356606
2021-08-31,3015,-0.07235879473632546
2021-09-30,3046,-0.09180054799244358
2021-10-29,3102,-0.06852834707235188
2021-11-30,3162,-0.044143449265347814
2021-12-31,3204,-0.06134845430875173
2022-01-28,3251,-0.016066040329510548
2022-02-28,3306,-0.023653713985965562
2022-03-31,3394,0.0012916923657089634
2022-04-29,3455,0.03821859177859653
2022-05-31,3535,-0.03323386802993592
2022-06-30,3614,-0.06404323607616956
2022-07-29,3684,-0.012730442892112599
2022-08-31,3752,-0.07930786881795902
2022-09-30,3830,-0.08019636711060854
2022-10-31,3898,-0.08652780133890857
2022-11-30,3970,-0.16351504070929876
2022-12-30,4050,-0.13376052595946725
2023-01-31,4096,-0.14343579676720983
2023-02-28,4159,-0.11086821296547353
2023-03-31,4252,-0.1448591807385171
2023-04-28,4313,-0.13701604499937572
2023-05-31,4356,-0.1142815226521355
2023-06-30,4406,-0.13981406616350242
2023-07-31,4429,-0.1798926228775136
2023-08-31,4456,-0.11380151497502547
2023-09-28,4490,-0.0789705380119013
2023-10-31,4508,0.03415759398792697
2023-11-30,4533,0.02485217925376126
2023-12-29,4568,0.012896857880530768
2024-01-31,4610,0.09696726338496618
2024-02-29,4631,-0.03566071737031797
2024-03-29,4655,0.15449225799800134
2024-04-30,4674,0.06264868445921916
2024-05-31,4700,0.007787467019375198
2024-06-28,4730,-0.0055963038904294484
2024-07-31,4766,0.046477802468066105
2024-08-30,4769,0.0550170271329915
2024-09-30,4767,-0.11958928511571333
2024-10-31,4781,0.0014218960008634785
2024-11-29,4794,0.046571027141735014
2024-12-31,4809,0.07382563853245051
2025-01-27,4811,0.09439050775476587
2025-02-28,4828,0.13404349387049974
