t_date,phase,n_test,n_rounds,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2014-02-28,dev,190,10,0.0708570133878965,-0.12256766915221835,-0.0664557247786284,-0.05956339364991887,0.01900194164894336,0.04646615901988787,0.0351680622393828,0.0731152456824804,-0.05411330403353704,-0.01616612059043944,8688,2014-02-11
2014-03-31,dev,191,7,0.06832846012975054,0.1740687380909273,0.24795933988549035,0.21723443097271974,0.19209363459842,0.15628596283122978,0.16535979056517178,0.14195699120115735,0.05013664339726265,0.026733844033248216,8869,2014-03-13
2014-04-30,dev,191,14,0.06074604389703201,0.07970060579583632,0.3474906999173326,0.32343448608432074,0.19176828653072878,0.17689260176837998,0.1824764942650853,0.15972369883339588,0.0320445876973329,0.009291792265643473,9053,2014-04-10
2014-05-30,dev,194,11,0.05575083926078917,0.1219781689223373,0.15969434120934273,0.18307782703915385,0.29911275913676266,0.26580599115273446,0.25848210410206746,0.37611803396671584,-0.07700527482995317,0.04063065503469521,9239,2014-05-08
2014-06-30,dev,199,6,0.031144233453527657,-0.04302734906015974,-0.14903138099014387,-0.15657225521547127,0.251157682681112,0.287985456703929,0.24560273812191288,0.6321073493453937,-0.3809496666642817,0.00555494455919911,9425,2014-06-09
2014-07-31,dev,204,14,0.035476066756308884,0.0680304127484535,0.09819713314615044,0.01152864846527341,0.2841507916522314,0.25614954002600837,0.26974940150705234,0.4474062557573637,-0.1632554641051323,0.01440139014517905,9612,2014-07-09
2014-08-29,dev,205,15,0.05627834902399048,0.12360741354873116,-0.00014559229915683683,-0.10175648758200888,0.3654056587552913,0.3059925244957616,0.3337201367176681,0.5365282362686874,-0.1711225775133961,0.031685522037623204,9800,2014-08-07
2014-09-30,dev,210,12,0.04350652825267021,0.03386650445031338,-0.03739151025955173,-0.21351763726420747,0.5510216363648496,0.5276136301814532,0.554132473614174,0.8037921850290579,-0.25277054866420834,-0.003110837249324372,9990,2014-08-29
2014-10-31,dev,210,16,0.043252289838116555,-0.049490665994325764,-0.11245800844204436,-0.2487539399986394,0.5737932663348596,0.6090219951605734,0.6060622075657848,0.8173099578403917,-0.24351669150553212,-0.03226894123092516,10181,2014-09-30
2014-11-28,dev,213,16,0.05390524455820107,0.011200674677314601,0.16150917847242627,-0.15421057468067084,0.9759187754780129,0.9897073240954284,0.9341944798349012,0.8621890552577434,0.1137297202202695,0.04172429564311164,10372,2014-11-05
2014-12-31,dev,216,16,0.04954563311039748,0.03220988771375349,-0.07441989265872079,-0.2595458388406625,0.23232215413860283,0.20126746337346396,0.19107958221204768,0.10298567650666945,0.12933647763193337,0.041242571926555144,10566,2014-12-03
2015-01-30,dev,219,7,0.04263555479380295,0.06049241353991864,0.14135557698948545,-0.08272076045106083,0.28349393244444127,0.2513429109394129,0.2462589284380872,0.11573001319011533,0.16776391925432593,0.03723500400635407,10765,2014-12-31
2015-02-27,dev,221,16,0.058494298872954896,0.0402732045990676,-0.06195206888196412,0.07208022502140149,0.012245109715444218,0.007195202223142922,0.017269518454896857,-0.10277669631719055,0.11502180603263477,-0.005024408739452639,10969,2015-02-04
2015-03-31,dev,222,16,0.054809725070753275,0.0466754169947587,-0.23094711330005444,0.16918558068650397,-0.08049990648750421,-0.12172466160113067,-0.10102916683994041,-0.2093836795184839,0.1288837730309797,0.0205292603524362,11174,2015-03-12
2015-04-30,dev,229,16,0.04961350759105629,-0.05329765242176595,-0.2688245580622262,0.16580296383639948,-0.07822641454770093,-0.06612657013910667,-0.06965986201252956,-0.2197770641232233,0.14155064957552235,-0.00856655253517137,11384,2015-04-13
2015-05-29,dev,232,14,0.035190471078290715,-0.18830097846011962,-0.49032905978635605,0.07450859041801765,-0.2330015166288947,-0.17301004606813386,-0.1754394386654946,-0.22548410613140846,-0.007517410497486249,-0.0575620779634001,11594,2015-05-08
2015-06-30,dev,235,15,0.0288117285712601,0.06427843065176807,-0.1497042003923756,0.3187762952277917,-0.10523074274654998,-0.12236433424806316,-0.09342307735636782,-0.2244427562900766,0.11921201354352662,-0.01180766539018216,11807,2015-06-05
2015-07-31,dev,241,9,0.020143736415791827,-0.041981056059576013,0.023918814387679756,0.3661491375467234,-0.11744118898925064,-0.11083438879269673,-0.09490168358440038,-0.21797343725559704,0.1005322482663464,-0.022539505404850266,12023,2015-07-09
