t_date,n,n_short,n_full,ic_all,ic_short,ic_full,short_share_top,short_share_pool,ret_pool_top,ret_group_top,ret_diff_group_minus_pool
2010-04-30,93,32,61,0.2808182387872638,0.2063782991202346,0.3562665256478053,0.3157894736842105,0.34408602150537637,0.20585240426787538,0.21041212327444644,0.004559719006571067
2010-05-31,96,32,64,0.26294085729788386,0.05828445747800586,0.3988095238095238,0.3157894736842105,0.3333333333333333,0.20442000296565496,0.20442000296565496,0.0
2010-06-30,97,31,66,0.18026772564695978,0.12217741935483874,0.2153219914413945,0.3157894736842105,0.31958762886597936,0.284196088238351,0.284196088238351,0.0
2010-07-30,98,32,66,0.29672487551721716,0.16239002932551316,0.3542636468009603,0.4,0.32653061224489793,0.13652034220774745,0.1342614444170493,-0.0022588977906981555
2010-08-31,100,31,69,0.25936993699369937,-0.054032258064516135,0.36722689075630255,0.4,0.31,0.10304166651386944,0.09614919937746261,-0.00689246713640683
2010-09-30,101,31,70,-0.09573675014560279,-0.3435483870967742,-0.008520689353512377,0.35,0.3069306930693069,0.05807102305625417,0.05059036726220865,-0.0074806557940455196
2010-10-29,101,31,70,0.2582178217821782,0.2838709677419355,0.19699063948910855,0.4,0.3069306930693069,-0.04690017290438588,-0.05326221265082023,-0.006362039746434345
2010-11-30,104,32,72,-0.32322628827483196,-0.31634897360703806,-0.30873368062254813,0.38095238095238093,0.3076923076923077,-0.11270304148105284,-0.11695677691698576,-0.004253735435932923
2010-12-31,106,33,73,-0.19248305917323727,-0.20153743315508021,-0.2144884610638036,0.42857142857142855,0.3113207547169811,-0.06114522453506761,-0.06265316833208814,-0.0015079437970205306
2011-01-31,112,39,73,0.13203437318481565,0.24230769230769236,0.004566210045662101,0.5,0.3482142857142857,-0.03868982821091649,-0.05123772522148247,-0.012547897010565981
2011-02-28,113,40,73,0.004957082972919024,0.1951219512195122,-0.1467974824139208,0.5217391304347826,0.35398230088495575,-0.07380375585996242,-0.08853180914293422,-0.014728053282971804
2011-03-31,114,40,74,0.13019987444563702,0.30731707317073176,-0.05101814142910032,0.5652173913043478,0.3508771929824561,-0.14814829142652103,-0.1529053568455281,-0.004757065419007084
2011-04-29,115,39,76,0.1445435177148268,0.33947368421052637,-0.05799043062200957,0.6086956521739131,0.3391304347826087,-0.091437100326303,-0.09220521659041112,-0.0007681162641081096
2011-05-31,116,38,78,0.19338023296044288,0.29401466243571506,0.07209246449752778,0.5217391304347826,0.3275862068965517,-0.06888048725944555,-0.07737067728281675,-0.008490190023371202
2011-06-30,119,38,81,0.06919954422446946,0.15089178247072985,0.024096657633243,0.5,0.31932773109243695,-0.19111876624753976,-0.19237190073659494,-0.0012531344890551743
2011-07-29,121,37,84,-0.09195230998509683,-0.03366524419155997,-0.12499746886706489,0.4166666666666667,0.30578512396694213,-0.17662966985169984,-0.17642487729964676,0.0002047925520530791
2011-08-31,124,38,86,0.015351691581431943,0.05241273662326294,0.005424784187933393,0.44,0.3064516129032258,-0.09056458252625363,-0.09220980881483434,-0.0016452262885807145
2011-09-30,125,39,86,0.13797849462365588,0.05931174089068827,0.15907354120477382,0.32,0.312,-0.008361880485616879,-0.008361880485616879,0.0
2011-10-31,126,38,88,0.13408023997000373,-0.08261297734981946,0.24900496636257974,0.4,0.30158730158730157,-0.043033535411951,-0.03879966627416172,0.004233869137789281
