fund_code,fund_name,date_start,date_end,ann_return,ann_vol,sharpe,max_drawdown,drawdown_recovery_days,drawdown_repaired,var_95,cvar_95,downside_dev,cum_return,alpha_ann,beta,r_squared,alpha_t,alpha_p,reg_days
160613,,2023-09-15,2026-09-14,0.11004537875113618,0.14562924684243242,0.6805093442593539,-0.14835401619756028,17.0,True,-0.012069999999999999,-0.019427027027027016,0.09883267590571951,0.3675055491460051,0.061793557959509644,0.6291457596996008,0.6163136894221146,1.1457904485651944,0.25226096702700995,725
160627,,2023-09-15,2026-09-14,0.022286704460162454,0.159688450953053,0.09768332959739963,-0.19904305038332626,,False,-0.0132,-0.019781578947368404,0.10523770068334304,0.06831292097303954,-0.017301010113282316,0.5510915713896116,0.39327224939231575,-0.22936191123467584,0.818652505094951,725
160726,,2023-09-15,2026-09-14,0.06109276106227024,0.1762026157522836,0.3245950560525957,-0.15946659463872714,246.0,True,-0.01791,-0.02612972972972971,0.12649359988376604,0.19455781409373496,0.007451077451497395,0.834886819515377,0.7413517411668941,0.12977698212448593,0.8967789705343577,725
160812,,2023-09-15,2026-09-14,0.10636541793111398,0.22519842771307622,0.48993625731985524,-0.18614233580966733,238.0,True,-0.021309999999999996,-0.0318135135135135,0.1521192254846038,0.35395938333374355,0.04356828799923159,1.1210198392975048,0.8182575625995292,0.692936201038308,0.4885721081087942,725
160921,,2023-09-15,2026-09-14,0.018154089999240064,0.18414363342625223,0.0847105017811663,-0.20299461147868403,246.0,True,-0.017109999999999997,-0.025602702702702696,0.12695318960991891,0.0554179749162631,-0.024278958733463755,0.6682086861561025,0.434814191122915,-0.30266294261180055,0.7622337964935235,725
161219,,2023-09-15,2026-09-14,0.12346179797506762,0.1978501971383661,0.6088165297210693,-0.24461827569160866,20.0,True,-0.0177,-0.024674358974358962,0.1285919242064374,0.41765682204312315,0.06776966831198512,0.8863438998226851,0.6627145242570336,1.0289146945027066,0.3038638491297367,725
161225,,2023-09-15,2026-09-14,0.08426100598417197,0.19193097923727256,0.43001473894005027,-0.21407159506219386,25.0,True,-0.0176,-0.026121052631578923,0.13441773008911745,0.274469287750045,0.031262703288354524,0.8609761052593273,0.6644861630906046,0.4500701252371551,0.6527947905827218,725
161232,,2023-09-15,2026-09-14,0.051966089341936916,0.09564159160420159,0.3892512672006573,-0.11272925445776938,,False,-0.009439999999999999,-0.016224324324324312,0.0685426478950709,0.16401892939534313,0.01724092745465215,0.3364448609545301,0.4086283154213437,0.4053144911937867,0.6853662595631751,725
161601,,2023-09-15,2026-09-14,0.06781424671733327,0.20306064635912932,0.3388475497819442,-0.2663768693053523,,False,-0.01697,-0.030529729729729716,0.14116704904438904,0.21738688828056052,0.014380055332926562,0.9136332895595878,0.668476357581177,0.1974441797386128,0.8435354544007818,725
161605,,2023-09-15,2026-09-14,0.01045848954698747,0.14860535523825638,0.012366237612897013,-0.16282240100712753,28.0,True,-0.013279999999999998,-0.020467567567567548,0.10407276419694456,0.03168271168739101,-0.03755574305661609,0.6589039464755013,0.6491842040013686,-0.7316183195944734,0.46463862471357165,725
161609,,2023-09-15,2026-09-14,0.017208186596371133,0.2136326571238545,0.09605762371866512,-0.2584801091057314,,False,-0.01911,-0.031537837837837826,0.1490321667963916,0.052481146764890685,-0.03659465988130937,0.9557390587288899,0.6609005311312401,-0.45520503960209946,0.649098397091086,725
161616,,2023-09-15,2026-09-14,-0.004114895347043013,0.25729016296256274,0.033682981745828525,-0.3547503114638748,,False,-0.02206999999999993,-0.03488378378378377,0.17441577086927354,-0.012285595772018154,-0.049962260232035344,0.9804586334194677,0.47951786202630875,-0.4224648422759546,0.672811363493857,725
161728,,2023-09-15,2026-09-14,0.20028565602858328,0.2030713238843703,0.9372818968853917,-0.23930918102772292,28.0,True,-0.01867999999999993,-0.026002702702702683,0.13389384142031638,0.7285862187459105,0.14162244197257806,0.824386357862761,0.544206019462862,1.694634020964826,0.09057549706257838,725
161818,,2023-09-15,2026-09-14,-0.10759458442415604,0.1914175520513958,-0.6267350446567224,-0.28915935204948295,,False,-0.01681,-0.02497297297297297,0.1338155967001607,-0.289133404909524,-0.16854837759599062,0.8078801742124216,0.5881981517495649,-2.3181915786300142,0.020717052539768816,725
162006,,2023-09-15,2026-09-14,0.112264223923074,0.28294522976871433,0.46124382494162947,-0.26374781523474067,246.0,True,-0.02796999999999993,-0.03889999999999998,0.1919905357880618,0.3757167406065005,0.05691790230613932,1.2364995225512865,0.6306338650352308,0.5518142650755209,0.5812461266187305,725
162107,,2023-09-15,2026-09-14,-0.024114077251209176,0.30592416242751935,0.004080809266266719,-0.327205456413188,274.0,True,-0.029219999999999993,-0.042045945945945934,0.2109473569407189,-0.07056520336883909,-0.06515835674824362,1.1117599912724179,0.4361011705773763,-0.5141543676503554,0.6073011795561585,725
162201,,2023-09-15,2026-09-14,0.6809360444602075,0.45225100351886316,1.3744080979461026,-0.3931090839220923,,False,-0.03897,-0.057470270270270254,0.28182364997216136,3.744499722598148,0.525447492717935,1.6361564002691165,0.43220864109587587,2.76886072362667,0.005769378325879403,725
162212,,2023-09-15,2026-09-14,0.03341164199267732,0.2250951568271054,0.1747840966446753,-0.24026927445948232,154.0,True,-0.01851,-0.028535135135135118,0.14991448016039222,0.10354676182988154,-0.007700411761323547,0.788392756396477,0.40508468514296436,-0.08021523774362303,0.9360882691216723,725
162717,,2023-09-15,2026-09-14,-0.013684546910813222,0.26842728813696076,0.006071331841816618,-0.3008128054395206,,False,-0.02273999999999993,-0.03478648648648647,0.18272431892408933,-0.04046725455136957,-0.06089365326260823,1.0457609002852912,0.5011919703463279,-0.5019558110572891,0.6158514291221033,725
163001,,2023-09-15,2026-09-14,0.019974160788728934,0.24645000549281237,0.12489873117802433,-0.2736770386915557,298.0,True,-0.0208,-0.031649999999999984,0.1638008676307567,0.061084260701044224,-0.02438092851087896,0.9276506652973382,0.4678492339044229,-0.2217600832377102,0.8245632753387405,725
163110,,2023-09-15,2026-09-14,0.05794107433012341,0.24757321389420817,0.2800244273797741,-0.31627228836541577,398.0,True,-0.02257,-0.03767567567567567,0.18027835149153698,0.18395230569335763,0.007874706623853901,1.0315650544037724,0.573296772354828,0.07468567081990439,0.9404854677995791,725
