fund_code,file_name,rows_total,date_start,date_end,date_span_days,nav_zero_cnt,nav_nan_cnt,nav_acc_zero_cnt,nav_acc_nan_cnt,dup_date_cnt,jump_suspicious_cnt
001410,fund_001410.csv,2700,2015-07-31,2026-09-14,4063,0,0,0,0,0,0
001416,fund_001416.csv,2716,2015-06-09,2026-09-14,4115,0,0,0,0,0,0
001482,fund_001482.csv,2694,2015-08-06,2026-09-14,4057,0,0,0,0,0,0
001496,fund_001496.csv,2732,2015-06-25,2026-09-14,4099,0,0,0,0,0,0
001521,fund_001521.csv,2604,2015-12-11,2026-09-14,3930,0,0,0,0,0,1
001638,fund_001638.csv,2730,2015-07-06,2026-09-14,4088,0,0,0,0,0,0
001672,fund_001672.csv,2675,2015-09-01,2026-09-14,4031,0,0,0,0,0,1
001678,fund_001678.csv,1885,2018-11-22,2026-09-14,2853,0,0,0,0,0,1
001707,fund_001707.csv,2242,2017-06-08,2026-09-14,3385,0,0,0,0,0,0
001725,fund_001725.csv,2282,2017-03-20,2026-09-14,3465,0,0,0,0,0,0
001749,fund_001749.csv,2052,2018-02-08,2026-09-14,3140,0,0,0,0,0,0
001764,fund_001764.csv,2472,2016-05-27,2026-09-14,3762,0,0,0,0,0,0
001877,fund_001877.csv,2585,2016-01-20,2026-09-14,3890,0,0,0,0,0,0
001956,fund_001956.csv,2556,2016-01-26,2026-09-14,3884,0,0,0,0,0,0
002229,fund_002229.csv,2544,2016-03-15,2026-09-14,3835,0,0,0,0,0,0
002289,fund_002289.csv,2064,2018-03-02,2026-09-14,3118,0,0,0,0,0,0
002861,fund_002861.csv,2240,2017-06-21,2026-09-14,3372,0,0,0,0,0,0
002980,fund_002980.csv,2424,2016-09-07,2026-09-14,3659,0,0,0,0,0,0
003145,fund_003145.csv,2413,2016-09-07,2026-09-14,3659,0,0,0,0,0,0
003853,fund_003853.csv,2275,2017-03-10,2026-09-14,3475,0,0,0,0,0,0
004352,fund_004352.csv,2231,2017-06-28,2026-09-14,3365,0,0,0,0,0,0
004450,fund_004450.csv,2251,2017-05-19,2026-09-14,3405,0,0,0,5,0,0
004640,fund_004640.csv,2197,2017-08-11,2026-09-14,3321,0,0,0,0,0,0
005268,fund_005268.csv,2126,2017-11-29,2026-09-14,3211,0,0,0,0,0,0
005310,fund_005310.csv,2124,2017-12-11,2026-09-14,3199,0,0,0,0,0,0
005328,fund_005328.csv,2102,2017-12-22,2026-09-14,3188,0,0,0,0,0,0
005495,fund_005495.csv,2117,2017-12-28,2026-09-14,3182,0,0,0,0,0,0
005496,fund_005496.csv,2117,2017-12-28,2026-09-14,3182,0,0,0,0,0,0
005628,fund_005628.csv,2042,2018-04-25,2026-09-14,3064,0,0,0,0,0,0
005629,fund_005629.csv,2042,2018-04-25,2026-09-14,3064,0,0,0,0,0,0
005660,fund_005660.csv,1875,2018-10-22,2026-09-14,2884,0,0,0,12,0,0
005661,fund_005661.csv,1875,2018-10-22,2026-09-14,2884,0,0,0,12,0,0
005777,fund_005777.csv,2005,2018-05-31,2026-09-14,3028,0,0,0,0,0,0
005825,fund_005825.csv,1996,2018-06-13,2026-09-14,3015,0,0,0,0,0,0
005826,fund_005826.csv,1920,2018-09-27,2026-09-14,2909,0,0,0,0,0,0
005885,fund_005885.csv,2049,2018-04-18,2026-09-14,3071,0,0,0,0,0,0
005962,fund_005962.csv,1950,2018-08-15,2026-09-14,2952,0,0,0,0,0,0
005963,fund_005963.csv,1950,2018-08-15,2026-09-14,2952,0,0,0,0,0,0
006080,fund_006080.csv,1864,2018-12-26,2026-09-14,2819,0,0,0,0,0,0
006081,fund_006081.csv,1864,2018-12-26,2026-09-14,2819,0,0,0,0,0,0
006265,fund_006265.csv,1933,2018-09-14,2026-09-14,2922,0,0,0,0,0,0
006502,fund_006502.csv,1852,2018-11-29,2026-09-14,2846,0,0,0,0,0,0
006503,fund_006503.csv,1852,2018-11-29,2026-09-14,2846,0,0,0,0,0,0
006751,fund_006751.csv,1803,2019-03-26,2026-09-14,2729,0,0,0,0,0,0
006868,fund_006868.csv,1816,2019-03-05,2026-09-14,2750,0,0,0,0,0,0
007133,fund_007133.csv,1760,2019-05-06,2026-09-14,2688,0,0,0,0,0,0
007134,fund_007134.csv,1760,2019-05-06,2026-09-14,2688,0,0,0,2,0,0
007685,fund_007685.csv,1674,2019-09-17,2026-09-14,2554,0,0,0,0,0,0
008009,fund_008009.csv,1626,2019-12-10,2026-09-14,2470,0,0,0,0,0,0
008286,fund_008286.csv,1582,2020-02-21,2026-09-14,2397,0,0,0,0,0,0
008382,fund_008382.csv,1518,2020-05-09,2026-09-14,2319,0,0,0,0,0,0
008934,fund_008934.csv,1500,2020-07-16,2026-09-14,2251,0,0,0,0,0,0
008935,fund_008935.csv,1500,2020-07-16,2026-09-14,2251,0,0,0,0,0,0
009491,fund_009491.csv,1457,2020-08-10,2026-09-14,2226,0,0,0,0,0,0
009492,fund_009492.csv,1457,2020-08-10,2026-09-14,2226,0,0,0,0,0,0
009891,fund_009891.csv,1433,2020-08-17,2026-09-14,2219,0,0,0,0,0,0
009899,fund_009899.csv,1429,2020-08-24,2026-09-14,2212,0,0,0,0,0,0
009988,fund_009988.csv,1440,2020-09-09,2026-09-14,2196,0,0,0,0,0,0
010013,fund_010013.csv,1457,2020-08-24,2026-09-14,2212,0,0,0,0,0,0
010236,fund_010236.csv,1450,2020-09-24,2026-09-14,2181,0,0,0,0,0,0
010361,fund_010361.csv,1245,2021-05-25,2026-09-14,1938,0,0,0,0,0,0
010362,fund_010362.csv,1245,2021-05-25,2026-09-14,1938,0,0,0,0,0,0
010391,fund_010391.csv,1345,2021-01-13,2026-09-14,2070,0,0,0,0,0,0
010392,fund_010392.csv,1345,2021-01-13,2026-09-14,2070,0,0,0,0,0,0
010680,fund_010680.csv,1339,2021-01-15,2026-09-14,2068,0,0,0,0,0,0
010681,fund_010681.csv,1339,2021-01-15,2026-09-14,2068,0,0,0,0,0,0
011122,fund_011122.csv,1243,2021-06-10,2026-09-14,1922,0,0,0,0,0,0
011126,fund_011126.csv,1387,2020-12-30,2026-09-14,2084,0,0,0,0,0,0
011377,fund_011377.csv,1338,2021-02-08,2026-09-14,2044,0,0,0,0,0,0
011378,fund_011378.csv,1338,2021-02-08,2026-09-14,2044,0,0,0,0,0,0
012350,fund_012350.csv,824,2023-03-14,2026-09-14,1280,0,0,0,0,0,0
012351,fund_012351.csv,824,2023-03-14,2026-09-14,1280,0,0,0,0,0,0
012496,fund_012496.csv,1181,2021-08-30,2026-09-14,1841,0,0,0,0,0,0
012497,fund_012497.csv,1181,2021-08-30,2026-09-14,1841,0,0,0,0,0,0
012696,fund_012696.csv,1206,2021-07-26,2026-09-14,1876,0,0,0,0,0,0
012697,fund_012697.csv,1206,2021-07-26,2026-09-14,1876,0,0,0,0,0,0
012800,fund_012800.csv,1260,2021-07-12,2026-09-14,1890,0,0,0,0,0,0
012835,fund_012835.csv,1220,2021-07-20,2026-09-14,1882,0,0,0,0,0,0
012836,fund_012836.csv,1220,2021-07-20,2026-09-14,1882,0,0,0,0,0,0
013242,fund_013242.csv,1198,2021-09-27,2026-09-14,1813,0,0,0,0,0,0
013339,fund_013339.csv,1199,2021-09-28,2026-09-14,1812,0,0,0,0,0,0
013340,fund_013340.csv,1199,2021-09-28,2026-09-14,1812,0,0,0,0,0,0
013613,fund_013613.csv,1208,2021-09-24,2026-09-14,1816,0,0,0,0,0,0
013622,fund_013622.csv,1197,2021-10-18,2026-09-14,1792,0,0,0,0,0,0
014185,fund_014185.csv,1116,2021-12-07,2026-09-14,1742,0,0,0,0,0,0
014186,fund_014186.csv,1116,2021-12-07,2026-09-14,1742,0,0,0,0,0,0
014191,fund_014191.csv,1075,2022-03-01,2026-09-14,1658,0,0,0,0,0,0
014192,fund_014192.csv,1075,2022-03-01,2026-09-14,1658,0,0,0,0,0,0
014299,fund_014299.csv,1092,2022-01-13,2026-09-14,1705,0,0,0,0,0,0
014300,fund_014300.csv,1092,2022-01-13,2026-09-14,1705,0,0,0,0,0,0
014416,fund_014416.csv,1101,2021-12-28,2026-09-14,1721,0,0,0,0,0,0
014417,fund_014417.csv,1101,2021-12-28,2026-09-14,1721,0,0,0,0,0,0
014536,fund_014536.csv,1150,2021-12-22,2026-09-14,1727,0,0,0,0,0,0
014736,fund_014736.csv,1112,2022-01-26,2026-09-14,1692,0,0,0,0,0,0
014737,fund_014737.csv,1112,2022-01-26,2026-09-14,1692,0,0,0,0,0,0
014863,fund_014863.csv,1124,2022-01-28,2026-09-14,1690,0,0,0,0,0,0
014930,fund_014930.csv,1127,2022-01-25,2026-09-14,1693,0,0,0,0,0,0
015060,fund_015060.csv,1112,2022-02-22,2026-09-14,1665,0,0,0,0,0,0
015114,fund_015114.csv,1118,2022-02-14,2026-09-14,1673,0,0,0,0,0,0
015145,fund_015145.csv,962,2022-09-29,2026-09-14,1446,0,0,0,0,0,0
015146,fund_015146.csv,962,2022-09-29,2026-09-14,1446,0,0,0,0,0,0
015159,fund_015159.csv,1109,2022-02-25,2026-09-14,1662,0,0,0,0,0,0
015172,fund_015172.csv,1112,2022-02-22,2026-09-14,1665,0,0,0,0,0,0
015198,fund_015198.csv,1103,2022-03-07,2026-09-14,1652,0,0,0,0,0,0
015199,fund_015199.csv,1103,2022-03-07,2026-09-14,1652,0,0,0,0,0,0
015475,fund_015475.csv,1091,2022-03-23,2026-09-14,1636,0,0,0,0,0,0
015608,fund_015608.csv,1046,2022-06-01,2026-09-14,1566,0,0,0,0,0,0
015686,fund_015686.csv,1036,2022-06-16,2026-09-14,1551,0,0,0,0,0,0
015754,fund_015754.csv,1054,2022-05-20,2026-09-14,1578,0,0,0,0,0,0
015773,fund_015773.csv,1059,2022-05-13,2026-09-14,1585,0,0,0,0,0,0
016050,fund_016050.csv,1021,2022-07-07,2026-09-14,1530,0,0,0,0,0,0
016052,fund_016052.csv,1021,2022-07-07,2026-09-14,1530,0,0,0,0,0,0
016919,fund_016919.csv,946,2022-10-28,2026-09-14,1417,0,0,0,0,0,0
017177,fund_017177.csv,926,2022-11-25,2026-09-14,1389,0,0,0,0,0,0
017488,fund_017488.csv,900,2022-12-16,2026-09-14,1368,0,0,0,0,0,0
017489,fund_017489.csv,900,2022-12-16,2026-09-14,1368,0,0,0,0,0,0
017744,fund_017744.csv,840,2023-02-17,2026-09-14,1305,0,0,0,0,0,0
017745,fund_017745.csv,840,2023-02-17,2026-09-14,1305,0,0,0,0,0,0
017746,fund_017746.csv,790,2023-04-11,2026-09-14,1252,0,0,0,0,0,0
017747,fund_017747.csv,790,2023-04-11,2026-09-14,1252,0,0,0,0,0,0
017916,fund_017916.csv,872,2023-02-16,2026-09-14,1306,0,0,0,0,0,0
018495,fund_018495.csv,811,2023-05-18,2026-09-14,1215,0,0,0,0,0,0
018817,fund_018817.csv,772,2023-07-14,2026-09-14,1158,0,0,0,0,0,0
018998,fund_018998.csv,758,2023-08-03,2026-09-14,1138,0,0,0,0,0,0
019024,fund_019024.csv,689,2023-11-16,2026-09-14,1033,0,0,0,0,0,0
019484,fund_019484.csv,727,2023-09-15,2026-09-14,1095,0,0,0,0,0,0
019759,fund_019759.csv,686,2023-11-21,2026-09-14,1028,0,0,0,0,0,0
019764,fund_019764.csv,686,2023-11-21,2026-09-14,1028,0,0,0,0,0,0
019765,fund_019765.csv,689,2023-10-24,2026-09-14,1056,0,0,0,0,0,0
019766,fund_019766.csv,689,2023-10-24,2026-09-14,1056,0,0,0,0,0,0
019824,fund_019824.csv,681,2023-11-06,2026-09-14,1043,0,0,0,0,0,0
019825,fund_019825.csv,681,2023-11-06,2026-09-14,1043,0,0,0,0,0,0
020315,fund_020315.csv,668,2023-12-15,2026-09-14,1004,0,0,0,0,0,0
020476,fund_020476.csv,559,2024-05-07,2026-09-14,860,0,0,0,0,0,0
020477,fund_020477.csv,559,2024-05-07,2026-09-14,860,0,0,0,0,0,0
020553,fund_020553.csv,571,2024-04-30,2026-09-14,867,0,0,0,0,0,0
020554,fund_020554.csv,571,2024-04-30,2026-09-14,867,0,0,0,0,0,0
020722,fund_020722.csv,597,2024-03-14,2026-09-14,914,0,0,0,0,0,0
020723,fund_020723.csv,597,2024-03-14,2026-09-14,914,0,0,0,0,0,0
020774,fund_020774.csv,575,2024-04-17,2026-09-14,880,0,0,0,0,0,0
020775,fund_020775.csv,575,2024-04-17,2026-09-14,880,0,0,0,0,0,0
021313,fund_021313.csv,586,2024-04-19,2026-09-14,878,0,0,0,0,0,0
021500,fund_021500.csv,570,2024-05-16,2026-09-14,851,0,0,0,0,0,0
021875,fund_021875.csv,478,2024-09-19,2026-09-14,725,0,0,0,0,0,0
021876,fund_021876.csv,478,2024-09-19,2026-09-14,725,0,0,0,0,0,0
021937,fund_021937.csv,328,2025-03-11,2026-09-14,552,0,0,0,0,0,0
021938,fund_021938.csv,328,2025-03-11,2026-09-14,552,0,0,0,0,0,0
022003,fund_022003.csv,397,2024-11-26,2026-09-14,657,0,0,0,0,0,0
022004,fund_022004.csv,397,2024-11-26,2026-09-14,657,0,0,0,0,0,0
022292,fund_022292.csv,387,2025-01-03,2026-09-14,619,0,0,0,0,0,0
022710,fund_022710.csv,438,2024-11-27,2026-09-14,656,0,0,0,0,0,0
022754,fund_022754.csv,422,2024-12-11,2026-09-14,642,0,0,0,0,0,0
022755,fund_022755.csv,422,2024-12-11,2026-09-14,642,0,0,0,0,0,0
022831,fund_022831.csv,426,2024-12-13,2026-09-14,640,0,0,0,0,0,0
022868,fund_022868.csv,425,2024-12-16,2026-09-14,637,0,0,0,0,0,0
023101,fund_023101.csv,417,2024-12-26,2026-09-14,627,0,0,0,0,0,0
023117,fund_023117.csv,300,2025-05-27,2026-09-14,475,0,0,0,0,0,0
023118,fund_023118.csv,300,2025-05-27,2026-09-14,475,0,0,0,0,0,0
023178,fund_023178.csv,410,2025-01-07,2026-09-14,615,0,0,0,0,0,0
023647,fund_023647.csv,332,2025-04-17,2026-09-14,515,0,0,0,0,0,0
023648,fund_023648.csv,332,2025-04-17,2026-09-14,515,0,0,0,0,0,0
024168,fund_024168.csv,312,2025-06-09,2026-09-14,462,0,0,0,0,0,0
024170,fund_024170.csv,312,2025-06-09,2026-09-14,462,0,0,0,0,0,0
024804,fund_024804.csv,281,2025-07-22,2026-09-14,419,0,0,0,0,0,0
024805,fund_024805.csv,281,2025-07-22,2026-09-14,419,0,0,0,0,0,0
025415,fund_025415.csv,248,2025-09-05,2026-09-14,374,0,0,0,0,0,0
164205,fund_164205.csv,3902,2010-08-12,2026-09-14,5877,0,0,0,0,0,0
340006,fund_340006.csv,4864,2006-09-20,2026-09-14,7299,0,0,0,0,0,4
501201,fund_501201.csv,1377,2020-07-23,2026-09-14,2244,0,0,0,0,0,0
519935,fund_519935.csv,2421,2016-09-29,2026-09-14,3637,0,0,0,0,0,0
540010,fund_540010.csv,3645,2011-07-27,2026-09-14,5528,0,0,0,0,0,0
