fund_code,fund_short_name,first_ann,last_ann,n_ann,types,organ_name,est_delist_date,is_onsite
006534,农银永盛定期开放混合,2022-04-14,2022-08-06,2,基金合同终止公告/清算报告,农银汇理,2022-04-14,False
006550,广发景润纯债,2020-12-04,2020-12-04,1,清算报告,广发,2020-12-04,False
006560,华夏中证四川国改ETF联接,2022-11-30,2022-11-30,1,清算报告,华夏,2022-11-30,False
006563,安信优享纯债债券,2021-10-22,2021-11-09,3,基金合同终止公告/清算报告,安信,2021-10-22,False
006578,泰康中证港股通非银指数,2021-12-22,2022-01-26,2,基金合同终止公告/清算报告,泰康资产,2021-12-22,False
006583,中信保诚景泰债券,2022-10-21,2022-10-21,2,基金合同终止公告/清算报告,中信保诚,2022-10-21,False
006610,银华远见混合发起式,2022-03-01,2022-05-26,2,基金合同终止公告/清算报告,银华,2022-03-01,False
006628,浙商丰盈六个月定期开放债券,2020-08-11,2020-08-11,1,基金清算公告,浙商,2020-08-11,False
006642,华泰保兴吉年利,2026-03-14,2026-03-31,2,基金合同终止公告/清算报告,华泰保兴,2026-03-14,False
006643,华泰柏瑞核心优势,2020-08-27,2020-08-27,1,清算报告,华泰柏瑞,2020-08-27,False
006658,财通中证香港红利等权投资指数,2023-09-04,2023-11-17,5,基金合同终止公告/清算报告,财通,2023-09-04,False
006667,南华瑞元定期开放债券,2026-07-17,2026-07-17,1,清算报告,南华,2026-07-17,False
006685,农银永安混合,2020-07-25,2020-10-21,2,基金合同终止公告/基金清算公告,农银汇理,2020-07-25,False
006686,人保安惠三个月定开,2021-12-06,2022-01-13,2,基金合同终止公告/清算报告,人保资产,2021-12-06,False
006690,泰达宏利添利债券,2020-02-29,2020-05-08,2,基金清算公告/清算报告,宏利,2020-02-29,False
006698,红土创新沪深300增强,2022-02-28,2022-04-02,2,基金合同终止公告/清算报告,红土创新,2022-02-28,False
006702,国富恒嘉短债债券,2021-06-29,2021-06-29,1,清算报告,国海富兰克林,2021-06-29,False
006709,工银聚盈混合,2019-11-01,2019-12-13,2,基金合同终止公告/清算报告,工银瑞信,2019-11-01,False
006722,天弘穗利一年定开,2021-03-20,2021-04-29,3,基金合同终止公告/基金清算公告/清算报告,天弘,2021-03-20,False
006726,农银稳进多因子股票,2020-06-24,2020-09-24,2,基金清算公告,农银汇理,2020-06-24,False
006727,博时中债3-5进出口行,2022-08-04,2022-08-04,1,基金合同终止公告,博时,2022-08-04,False
006737,诺安恒惠债券,2022-02-25,2022-03-08,2,基金清算公告/清算报告,诺安,2022-02-25,False
006749,东兴核心成长混合,2021-05-19,2021-05-19,1,清算报告,东兴,2021-05-19,False
006765,招商中债1-5年农发行,2020-11-17,2020-11-17,1,清算报告,招商,2020-11-17,False
006778,广发恒生中国企业精明指数(QDII),2022-03-08,2022-04-30,3,基金合同终止公告/清算报告,广发,2022-03-08,False
006783,红土创新中证500增强,2023-07-27,2023-07-27,1,清算报告,红土创新,2023-07-27,False
006788,金鹰添鑫定期开放债券,2021-12-27,2022-03-09,3,基金合同终止公告/基金清算公告/清算报告,金鹰,2021-12-27,False
006816,泰康港股通地产指数,2022-01-29,2022-03-25,2,基金合同终止公告/清算报告,泰康资产,2022-01-29,False
