fund_code,管理费率,托管费率,销售服务费率
002293,1.2,0.2,0.0
002295,1.2,0.2,0.0
002296,1.2,0.2,0.0
002300,1.2,0.2,0.0
002303,1.2,0.2,0.0
002304,0.6,0.1,0.0
002305,1.2,0.2,0.0
002307,1.2,0.2,
002313,0.6,0.2,0.3
002317,1.2,0.2,
002319,1.2,0.2,0.0
002330,0.7,0.25,0.5
002331,0.66,0.14,0.0
002332,1.2,0.2,0.0
002334,1.2,0.2,0.0
002340,1.2,0.2,0.0
002345,1.2,0.2,0.0
002356,0.3,0.1,0.0
002358,0.55,0.15,0.0
002363,0.9,0.2,0.0
002367,1.2,0.2,
002376,1.2,0.2,
002378,1.2,0.2,0.0
002383,0.6,0.15,0.0
002384,0.6,0.15,
002387,1.2,0.2,0.0
002409,0.6,0.1,0.0
002411,0.6,0.15,0.0
002413,0.6,0.1,0.0
002415,1.2,0.2,
002419,1.2,0.2,0.0
002420,1.2,0.2,0.0
002421,0.7,0.2,0.0
002424,1.5,0.25,
002430,0.6,0.1,0.0
002434,0.6,0.1,0.0
002443,1.2,0.2,0.0
002446,1.2,0.2,0.0
002447,0.3,0.1,
002449,0.6,0.1,0.0
002450,1.2,0.2,0.0
002453,1.5,0.25,0.0
002455,0.6,0.15,0.0
002456,1.2,0.2,0.0
002458,0.9,0.2,
002461,0.6,0.1,0.0
002472,1.2,0.2,0.0
002475,0.8,0.2,
002476,0.6,0.18,0.0
002482,1.2,0.2,
002489,0.8,0.2,0.0
002494,0.6,0.1,0.0
002495,1.2,0.2,0.0
002497,0.6,0.2,0.0
002498,0.6,0.13,0.0
002502,0.6,0.1,0.0
002512,1.2,0.2,0.0
002514,0.6,0.15,0.0
002518,0.6,0.15,0.0
002535,0.6,0.1,0.0
002537,1.2,0.2,0.0
002542,1.2,0.2,0.0
002543,0.4,0.12,0.0
002545,0.6,0.2,
002547,0.6,0.15,
002564,0.6,0.15,
002567,1.2,0.2,0.0
002573,1.2,0.2,
002574,1.2,0.2,0.0
002577,1.2,0.2,0.0
002581,0.6,0.15,0.0
002584,0.6,0.1,0.0
002585,0.8,0.2,0.0
002598,1.2,0.2,0.0
002601,1.2,0.2,
002602,0.8,0.2,
002604,0.8,0.2,0.0
002605,1.2,0.2,
002612,0.6,0.1,0.0
002614,0.6,0.1,0.0
002616,0.6,0.15,0.0
002618,0.6,0.15,0.0
002639,0.6,0.15,0.0
002640,0.3,0.05,0.0
002643,0.7,0.1,
002649,0.6,0.15,
002653,1.2,0.2,
002654,1.5,0.25,
002657,0.6,0.15,0.0
002660,0.6,0.1,0.0
002662,1.2,0.2,0.0
002664,0.6,0.12,0.0
002666,1.2,0.2,0.0
002668,0.6,0.1,0.0
002669,1.2,0.2,0.0
002681,1.2,0.2,0.0
002683,1.2,0.2,
002684,0.3,0.1,0.0
002685,1.2,0.2,0.0
002690,0.6,0.2,0.0
002692,1.2,0.2,0.0
002703,1.2,0.2,0.0
002728,0.6,0.15,0.0
002730,0.6,0.15,0.0
002732,1.5,0.25,
002740,0.5,0.12,0.0
002745,0.6,0.1,
002755,0.3,0.1,0.0
002767,1.2,0.2,0.0
002770,0.8,0.1,0.0
002772,1.2,0.2,0.0
002776,0.6,0.1,0.0
002780,1.2,0.15,0.0
002782,0.5,0.1,
002783,0.4,0.1,0.0
002802,1.0,0.15,0.0
002803,1.2,0.2,
002808,1.2,0.2,
002810,1.2,0.2,0.0
002813,1.0,0.2,0.0
002819,0.6,0.15,0.0
002823,1.5,0.25,0.0
002830,0.3,0.1,
002833,0.6,0.1,0.0
002837,1.2,0.2,0.0
002838,0.6,0.1,0.0
002844,1.2,0.2,0.0
002846,0.8,0.15,
002849,1.2,0.2,0.0
002851,1.2,0.2,0.0
002858,0.3,0.1,0.0
002870,0.3,0.05,
002871,1.0,0.2,0.0
002885,1.2,0.2,0.0
002904,0.3,0.1,0.0
002909,0.3,0.1,
002910,1.2,0.2,
002943,1.2,0.2,
002945,1.2,0.2,0.0
002952,1.2,0.2,
002955,1.2,0.2,
002989,1.2,0.2,0.0
003004,1.5,0.2,
003023,0.3,0.1,0.0
003025,1.2,0.2,
003026,0.8,0.1,0.0
003028,0.6,0.1,0.0
003030,0.6,0.1,0.0
003032,1.2,0.2,0.0
003044,0.7,0.2,0.0
003051,0.4,0.1,
003065,0.3,0.1,0.0
003069,1.2,0.2,0.0
003083,0.3,0.1,0.3
003095,1.2,0.2,0.0
003115,0.6,0.15,0.0
003117,0.6,0.1,0.0
003119,0.6,0.15,0.0
003125,1.2,0.2,0.0
003126,0.6,0.1,0.0
003131,1.2,0.2,
003132,0.8,0.2,0.01
003142,0.6,0.1,0.0
003145,1.2,0.2,
003146,0.3,0.1,
003147,0.6,0.15,0.0
003152,1.2,0.15,0.0
003154,0.6,0.15,0.25
003161,1.0,0.2,0.0
003165,0.6,0.2,0.0
003169,0.6,0.2,0.0
003189,0.6,0.15,0.0
003190,1.2,0.2,0.0
003230,1.2,0.2,0.0
003232,1.5,0.2,0.0
003234,0.6,0.1,0.0
003238,1.2,0.2,
003284,1.2,0.2,0.0
003291,1.2,0.2,0.0
003292,1.2,0.2,0.0
003293,1.2,0.2,
003295,0.6,0.15,0.0
003298,1.2,0.2,0.0
003300,0.6,0.15,0.0
003304,0.6,0.1,0.0
003308,1.2,0.2,
003343,0.6,0.1,0.0
003345,0.6,0.2,0.0
003366,1.2,0.15,
003373,0.6,0.15,0.0
003378,1.2,0.2,
003379,0.6,0.1,0.0
003394,0.3,0.1,
003396,1.2,0.2,0.0
003397,1.2,0.2,0.0
003424,0.3,0.1,
003427,0.3,0.1,
003430,0.3,0.05,0.4
003432,0.6,0.1,0.0
003434,0.8,0.2,0.0
003446,0.6,0.1,0.0
003456,0.7,0.15,0.0
003475,0.65,0.15,0.0
003476,0.6,0.1,
003484,0.7,0.1,0.0
003493,0.6,0.2,0.0
003514,0.3,0.1,
003516,1.2,0.15,0.0
003561,1.2,0.2,0.0
003567,1.2,0.2,0.0
003575,0.3,0.1,
003580,1.2,0.2,
003581,1.2,0.2,0.0
003582,1.5,0.25,
003586,1.2,0.15,0.0
003591,0.6,0.15,0.0
003593,1.2,0.2,
003594,0.6,0.1,0.0
003626,0.6,0.1,0.0
003634,1.2,0.2,0.0
003641,0.6,0.1,0.0
003651,0.3,0.1,
003655,0.7,0.1,0.2
003658,1.5,0.25,
003659,1.2,0.2,0.0
003660,0.4,0.1,0.0
003704,0.6,0.25,
003713,0.6,0.15,0.0
003715,1.2,0.2,
003745,1.2,0.2,
003749,0.6,0.2,0.0
003751,1.2,0.2,0.0
003754,0.6,0.1,0.0
003769,1.5,0.25,
003780,0.7,0.1,
003799,0.6,0.1,0.0
003805,0.4,0.1,0.0
003813,0.8,0.15,0.0
003822,1.2,0.2,0.0
003839,0.6,0.1,0.0
003842,0.7,0.2,0.0
003845,0.6,0.1,0.0
003848,0.6,0.1,0.0
003850,0.6,0.1,0.0
003853,1.2,0.2,0.0
003854,0.6,0.1,0.0
003889,0.6,0.1,0.0
003900,0.6,0.1,0.0
003938,0.6,0.15,0.0
003940,1.2,0.2,0.0
003950,0.5,0.1,0.0
003955,0.7,0.2,
003956,1.2,0.2,0.0
003961,0.6,0.1,0.0
003966,0.6,0.1,0.0
003980,0.6,0.1,0.0
003984,1.2,0.2,0.0
003993,1.2,0.2,
004040,1.2,0.2,0.0
004044,1.2,0.2,
004046,0.6,0.1,0.0
004048,0.6,0.1,0.0
004083,0.6,0.1,0.0
004091,1.2,0.2,0.0
004098,1.2,0.2,
004099,1.2,0.2,
004100,1.2,0.2,0.0
004112,1.5,0.25,
004119,1.2,0.2,
004128,0.7,0.1,0.0
004129,0.6,0.15,0.0
004131,0.6,0.15,0.0
004134,0.7,0.1,
004135,1.5,0.25,0.0
004138,1.2,0.2,0.0
004139,1.2,0.2,0.0
004142,0.6,0.1,0.0
004144,0.7,0.1,0.0
004148,1.2,0.2,
004149,0.5,0.1,0.0
004153,0.6,0.1,0.0
004154,0.6,0.1,0.1
004157,0.6,0.2,0.0
004166,0.7,0.1,0.0
004175,0.6,0.1,0.0
004183,1.2,0.2,0.0
004211,1.2,0.2,0.0
004212,1.5,0.25,0.0
004218,0.6,0.2,0.0
004223,1.2,0.15,0.0
004224,1.2,0.2,0.0
004225,0.6,0.15,0.0
004227,0.3,0.1,0.0
004244,1.2,0.2,0.0
004249,1.2,0.2,0.0
004250,1.2,0.2,0.0
004254,0.5,0.1,0.0
004258,0.4,0.07,0.0
004260,0.7,0.15,0.0
004263,1.2,0.2,
004266,0.6,0.1,0.0
004270,1.0,0.2,0.0
004276,1.0,0.2,0.0
004307,0.3,0.1,
004314,1.2,0.2,0.0
004316,1.2,0.2,0.0
004320,1.2,0.2,
004321,0.6,0.1,
004332,1.2,0.2,
004334,0.3,0.1,
004335,0.6,0.15,0.25
004340,1.2,0.2,0.0
004341,1.2,0.2,
004350,1.2,0.2,0.0
004351,1.2,0.2,
004352,1.2,0.2,
004353,0.6,0.15,0.6
004355,1.2,0.2,0.0
004357,1.2,0.2,
004359,1.2,0.2,0.0
004361,0.8,0.2,0.0
004397,0.8,0.25,
004403,1.2,0.2,0.0
004405,0.6,0.1,0.0
004423,1.2,0.2,0.0
004424,1.2,0.2,0.0
004434,1.2,0.2,0.0
004436,0.3,0.05,0.0
004442,0.6,0.1,0.0
004466,0.6,0.15,0.2
004475,1.2,0.2,0.0
004476,1.2,0.2,0.0
004477,1.2,0.2,
004480,0.6,0.15,
004481,1.2,0.2,0.0
004484,1.2,0.25,0.0
004495,1.2,0.2,0.0
004496,0.7,0.1,0.0
004505,1.2,0.2,0.0
004517,0.6,0.2,0.0
004557,1.5,0.25,
004558,0.8,0.1,0.0
004560,0.8,0.1,0.0
004573,1.2,0.2,
004576,1.5,0.25,
004604,0.6,0.1,0.0
004606,1.5,0.25,
004607,0.7,0.2,0.7
004608,0.6,0.11,0.0
004612,0.6,0.1,0.0
004616,1.2,0.2,0.0
004617,0.6,0.1,0.0
004634,0.6,0.1,0.0
004640,1.2,0.2,0.0
004641,1.2,0.2,0.0
004648,0.6,0.15,0.0
004652,0.6,0.1,0.0
004657,0.8,0.15,0.0
004666,1.2,0.2,0.0
004668,0.6,0.1,0.0
004671,1.2,0.2,
004674,0.6,0.1,0.0
004677,1.2,0.2,
004694,0.6,0.1,0.0
004695,1.0,0.1,0.0
004698,1.2,0.2,0.0
004702,1.0,0.1,0.0
004707,0.6,0.1,0.0
004726,0.8,0.1,0.0
004730,1.2,0.2,
004731,0.7,0.1,0.0
004734,0.6,0.1,0.0
004737,1.0,0.2,0.0
004763,0.8,0.15,0.0
004769,1.2,0.1,
004772,0.6,0.15,0.0
004774,1.0,0.2,0.0
004775,0.6,0.15,0.6
004781,0.7,0.2,0.0
004784,1.2,0.2,0.0
004790,0.6,0.1,0.0
004794,0.6,0.1,0.0
004801,1.0,0.2,0.0
004805,1.2,0.2,0.0
004806,1.5,0.2,1.0
004809,1.2,0.15,0.0
004812,1.2,0.2,0.0
004814,1.2,0.2,0.0
004818,0.6,0.1,0.0
004823,0.7,0.15,0.0
004829,0.6,0.1,
004833,1.2,0.1,0.0
004836,0.6,0.1,0.0
004844,0.3,0.1,
004845,1.0,0.2,0.0
004850,0.6,0.1,0.0
004851,1.2,0.2,0.0
004852,0.8,0.1,0.0
004868,1.2,0.2,
004871,1.2,0.2,0.0
004888,0.65,0.15,0.0
004890,1.2,0.2,0.0
004891,1.0,0.2,0.0
004926,1.0,0.1,0.0
004928,0.6,0.1,0.0
004930,1.5,0.25,0.0
004932,0.6,0.15,0.0
004934,1.2,0.2,
004936,0.8,0.1,0.0
004942,0.6,0.1,0.0
004944,0.8,0.15,0.0
004946,1.0,0.2,0.0
004951,1.2,0.1,0.0
004958,1.2,0.2,
004959,1.2,0.2,
004965,1.2,0.15,0.0
004975,0.6,0.2,0.0
004976,0.6,0.1,0.0
004986,1.2,0.2,
004987,0.6,0.1,
004988,0.6,0.2,0.0
004995,1.2,0.2,0.0
004997,1.2,0.2,0.0
005000,1.2,0.2,0.0
005004,1.2,0.2,0.0
005027,1.5,0.25,
005028,1.2,0.2,
005029,1.2,0.2,0.0
005035,1.0,0.1,0.0
005037,1.0,0.1,0.0
005039,0.7,0.1,0.0
