t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2007-04-30,dev,ret_12m,short,67,0.289967275919866,1715,2007-04-12
2007-04-30,dev,ret_12m,full,45,0.2322793148880105,1715,2007-04-12
2007-04-30,dev,ret_12m,under12,0,,1715,2007-04-12
2007-04-30,dev,sharpe_12m,all,113,-0.07142857142857144,1715,2007-04-12
2007-04-30,dev,sharpe_12m,short,68,0.08852158644119554,1715,2007-04-12
2007-04-30,dev,sharpe_12m,full,45,-0.35467720685111986,1715,2007-04-12
2007-04-30,dev,sharpe_12m,under12,0,,1715,2007-04-12
2007-05-31,dev,ret_12m,all,115,0.22493490097056737,1812,2007-05-14
2007-05-31,dev,ret_12m,short,64,0.15416666666666665,1812,2007-05-14
2007-05-31,dev,ret_12m,full,51,0.2656108597285068,1812,2007-05-14
2007-05-31,dev,ret_12m,under12,0,,1812,2007-05-14
2007-05-31,dev,sharpe_12m,all,117,-0.03961545954532512,1812,2007-05-14
2007-05-31,dev,sharpe_12m,short,66,0.07571234735413841,1812,2007-05-14
2007-05-31,dev,sharpe_12m,full,51,-0.28425339366515834,1812,2007-05-14
2007-05-31,dev,sharpe_12m,under12,0,,1812,2007-05-14
2007-06-29,dev,ret_12m,all,118,0.3993769606930126,1913,2007-06-13
2007-06-29,dev,ret_12m,short,59,0.46767971946230286,1913,2007-06-13
2007-06-29,dev,ret_12m,full,59,0.3043249561659849,1913,2007-06-13
2007-06-29,dev,ret_12m,under12,0,,1913,2007-06-13
2007-06-29,dev,sharpe_12m,all,123,-0.07577614115644066,1913,2007-06-13
2007-06-29,dev,sharpe_12m,short,64,0.038598901098901094,1913,2007-06-13
2007-06-29,dev,sharpe_12m,full,59,-0.16130917592051433,1913,2007-06-13
2007-06-29,dev,sharpe_12m,under12,0,,1913,2007-06-13
2007-07-31,dev,ret_12m,all,124,0.14146341463414633,2019,2007-07-12
2007-07-31,dev,ret_12m,short,63,0.2620967741935484,2019,2007-07-12
2007-07-31,dev,ret_12m,full,61,-0.009254362771020623,2019,2007-07-12
2007-07-31,dev,ret_12m,under12,0,,2019,2007-07-12
2007-07-31,dev,sharpe_12m,all,128,0.08711202160776414,2019,2007-07-12
2007-07-31,dev,sharpe_12m,short,67,0.23401708037353341,2019,2007-07-12
2007-07-31,dev,sharpe_12m,full,61,-0.12956107879428874,2019,2007-07-12
2007-07-31,dev,sharpe_12m,under12,0,,2019,2007-07-12
2007-08-31,dev,ret_12m,all,132,-0.325823232613108,2127,2007-08-09
2007-08-31,dev,ret_12m,short,68,-0.23422529297247774,2127,2007-08-09
2007-08-31,dev,ret_12m,full,64,-0.3586080586080586,2127,2007-08-09
2007-08-31,dev,ret_12m,under12,0,,2127,2007-08-09
2007-08-31,dev,sharpe_12m,all,137,0.04132208262549704,2127,2007-08-09
2007-08-31,dev,sharpe_12m,short,73,0.024558805380723192,2127,2007-08-09
2007-08-31,dev,sharpe_12m,full,64,0.0010073260073260072,2127,2007-08-09
2007-08-31,dev,sharpe_12m,under12,0,,2127,2007-08-09
2007-09-28,dev,ret_12m,all,137,-0.3273890641626374,2237,2007-08-30
2007-09-28,dev,ret_12m,short,70,-0.18012422360248445,2237,2007-08-30
2007-09-28,dev,ret_12m,full,67,-0.41894804054593343,2237,2007-08-30
2007-09-28,dev,ret_12m,under12,0,,2237,2007-08-30
2007-09-28,dev,sharpe_12m,all,142,0.25964236542600344,2237,2007-08-30
2007-09-28,dev,sharpe_12m,short,75,0.33064011379800856,2237,2007-08-30
2007-09-28,dev,sharpe_12m,full,67,0.1573549365472105,2237,2007-08-30
2007-09-28,dev,sharpe_12m,under12,0,,2237,2007-08-30
2007-10-31,dev,ret_12m,all,146,-0.384149691997725,2348,2007-10-08
2007-10-31,dev,ret_12m,short,78,-0.25105274472363076,2348,2007-10-08
2007-10-31,dev,ret_12m,full,68,-0.49681261213116,2348,2007-10-08
2007-10-31,dev,ret_12m,under12,0,,2348,2007-10-08
2007-10-31,dev,sharpe_12m,all,149,0.057123163431888266,2348,2007-10-08
2007-10-31,dev,sharpe_12m,short,81,0.08021680216802168,2348,2007-10-08
2007-10-31,dev,sharpe_12m,full,68,0.02633889376646181,2348,2007-10-08
2007-10-31,dev,sharpe_12m,under12,0,,2348,2007-10-08
2007-11-30,dev,ret_12m,all,151,-0.37217845939351685,2461,2007-11-06
2007-11-30,dev,ret_12m,short,82,-0.24040878963006498,2461,2007-11-06
2007-11-30,dev,ret_12m,full,69,-0.48812568505663145,2461,2007-11-06
2007-11-30,dev,ret_12m,under12,0,,2461,2007-11-06
2007-11-30,dev,sharpe_12m,all,158,0.1199724960029451,2461,2007-11-06
2007-11-30,dev,sharpe_12m,short,89,0.18959822948586996,2461,2007-11-06
2007-11-30,dev,sharpe_12m,full,69,0.03533065400073073,2461,2007-11-06
2007-11-30,dev,sharpe_12m,under12,0,,2461,2007-11-06
2007-12-28,dev,ret_12m,all,164,-0.3905785371294873,2578,2007-11-30
2007-12-28,dev,ret_12m,short,94,-0.2237691001697793,2578,2007-11-30
2007-12-28,dev,ret_12m,full,70,-0.5236462251771499,2578,2007-11-30
2007-12-28,dev,ret_12m,under12,0,,2578,2007-11-30
2007-12-28,dev,sharpe_12m,all,169,0.19357565511411667,2578,2007-11-30
2007-12-28,dev,sharpe_12m,short,99,0.21371675943104515,2578,2007-11-30
2007-12-28,dev,sharpe_12m,full,70,0.18019420873064476,2578,2007-11-30
2007-12-28,dev,sharpe_12m,under12,0,,2578,2007-11-30
2008-01-31,dev,ret_12m,all,169,-0.26003430958182094,2701,2008-01-02
