t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2025-04-30,holdout,reserved_holdout,100674,1489,2003-01-29,2025-04-11,1497,1497
2025-05-30,holdout,reserved_holdout,102167,1493,2003-01-29,2025-05-12,1497,1497
2025-06-30,holdout,reserved_holdout,103661,1494,2003-01-29,2025-06-11,1498,1498
2025-07-31,holdout,reserved_holdout,105157,1496,2003-01-29,2025-07-11,1498,1498
2025-08-29,holdout,reserved_holdout,106653,1496,2003-01-29,2025-08-06,1499,1499
2025-09-30,holdout,reserved_holdout,108149,1496,2003-01-29,2025-09-01,1499,1499
2025-10-31,holdout,reserved_holdout,109646,1497,2003-01-29,2025-09-30,1498,1498
2025-11-28,holdout,reserved_holdout,111143,1497,2003-01-29,2025-11-06,1498,1498
2025-12-31,holdout,reserved_holdout,112640,1497,2003-01-29,2025-12-03,1498,1498
2026-01-30,holdout,reserved_holdout,114138,1498,2003-01-29,2025-12-31,1498,1498
2026-02-27,holdout,reserved_holdout,115636,1498,2003-01-29,2026-02-04,1498,1498
