t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2007-07-31,dev,ret_12m,all,44,0.05778717406624383,825,2007-07-12
2007-07-31,dev,ret_12m,short,20,0.4360902255639097,825,2007-07-12
2007-07-31,dev,ret_12m,full,24,-0.25652173913043474,825,2007-07-12
2007-07-31,dev,ret_12m,under12,0,,825,2007-07-12
2007-07-31,dev,sharpe_12m,all,46,0.03311748381128584,825,2007-07-12
2007-07-31,dev,sharpe_12m,short,22,0.3382269904009035,825,2007-07-12
2007-07-31,dev,sharpe_12m,full,24,-0.31652173913043474,825,2007-07-12
2007-07-31,dev,sharpe_12m,under12,0,,825,2007-07-12
2007-08-31,dev,ret_12m,all,47,-0.02590194264569843,863,2007-08-09
2007-08-31,dev,ret_12m,short,22,0.0220214568040655,863,2007-08-09
2007-08-31,dev,ret_12m,full,25,-0.1176923076923077,863,2007-08-09
2007-08-31,dev,ret_12m,under12,0,,863,2007-08-09
2007-08-31,dev,sharpe_12m,all,47,0.09401017576318225,863,2007-08-09
2007-08-31,dev,sharpe_12m,short,22,0.24562394127611523,863,2007-08-09
2007-08-31,dev,sharpe_12m,full,25,-0.06692307692307692,863,2007-08-09
2007-08-31,dev,sharpe_12m,under12,0,,863,2007-08-09
2007-09-28,dev,ret_12m,all,47,-0.03318686401480111,902,2007-08-30
2007-09-28,dev,ret_12m,short,20,-0.03458646616541353,902,2007-08-30
2007-09-28,dev,ret_12m,full,27,-0.06105006105006105,902,2007-08-30
2007-09-28,dev,ret_12m,under12,0,,902,2007-08-30
2007-09-28,dev,sharpe_12m,all,50,0.2510924369747899,902,2007-08-30
2007-09-28,dev,sharpe_12m,short,23,0.3557312252964427,902,2007-08-30
2007-09-28,dev,sharpe_12m,full,27,0.10256410256410256,902,2007-08-30
2007-09-28,dev,sharpe_12m,under12,0,,902,2007-08-30
2007-10-31,dev,ret_12m,all,51,-0.05493212669683258,941,2007-10-08
2007-10-31,dev,ret_12m,short,24,0.006956521739130434,941,2007-10-08
2007-10-31,dev,ret_12m,full,27,-0.10561660561660562,941,2007-10-08
2007-10-31,dev,ret_12m,under12,0,,941,2007-10-08
2007-10-31,dev,sharpe_12m,all,52,0.09664475369247844,941,2007-10-08
2007-10-31,dev,sharpe_12m,short,25,0.24846153846153846,941,2007-10-08
2007-10-31,dev,sharpe_12m,full,27,0.01282051282051282,941,2007-10-08
2007-10-31,dev,sharpe_12m,under12,0,,941,2007-10-08
2007-11-30,dev,ret_12m,all,52,-0.08452147186886365,981,2007-11-06
2007-11-30,dev,ret_12m,short,24,0.010434782608695651,981,2007-11-06
2007-11-30,dev,ret_12m,full,28,-0.23152709359605914,981,2007-11-06
2007-11-30,dev,ret_12m,under12,0,,981,2007-11-06
2007-11-30,dev,sharpe_12m,all,55,0.15930735930735934,981,2007-11-06
2007-11-30,dev,sharpe_12m,short,27,0.3815628815628816,981,2007-11-06
2007-11-30,dev,sharpe_12m,full,28,-0.08812260536398467,981,2007-11-06
2007-11-30,dev,sharpe_12m,under12,0,,981,2007-11-06
2007-12-28,dev,ret_12m,all,56,-0.19501025290498974,1022,2007-11-30
2007-12-28,dev,ret_12m,short,28,-0.1330049261083744,1022,2007-11-30
2007-12-28,dev,ret_12m,full,28,-0.25287356321839083,1022,2007-11-30
2007-12-28,dev,ret_12m,under12,0,,1022,2007-11-30
