t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2013-05-31,dev,ok,21408,483,2003-01-29,2013-05-14,532,532
2013-06-28,dev,ok,21897,491,2003-01-29,2013-06-18,540,540
2013-07-31,dev,ok,22396,501,2003-01-29,2013-07-17,553,553
2013-08-30,dev,ok,22902,508,2003-01-29,2013-08-14,562,562
2013-09-30,dev,ok,23411,511,2003-01-29,2013-09-04,579,579
2013-10-31,dev,ok,23926,517,2003-01-29,2013-10-14,586,586
2013-11-29,dev,ok,24451,526,2003-01-29,2013-11-07,587,587
2013-12-31,dev,ok,24983,533,2003-01-29,2013-12-09,596,596
2014-01-30,dev,ok,25523,541,2003-01-29,2014-01-02,600,600
2014-02-28,dev,ok,26076,554,2003-01-29,2014-02-11,605,605
2014-03-31,dev,ok,26638,563,2003-01-29,2014-03-13,612,612
2014-04-30,dev,ok,27217,580,2003-01-29,2014-04-10,620,620
2014-05-30,dev,ok,27803,587,2003-01-29,2014-05-08,627,627
2014-06-30,dev,ok,28390,588,2003-01-29,2014-06-09,640,640
2014-07-31,dev,ok,28986,596,2003-01-29,2014-07-09,655,655
2014-08-29,dev,ok,29586,600,2003-01-29,2014-08-07,664,664
2014-09-30,dev,ok,30191,605,2003-01-29,2014-08-29,676,676
2014-10-31,dev,ok,30803,612,2003-01-29,2014-09-30,684,684
2014-11-28,dev,ok,31423,620,2003-01-29,2014-11-05,693,693
2014-12-31,dev,ok,32050,628,2003-01-29,2014-12-03,705,705
2015-01-30,dev,ok,32690,641,2003-01-29,2014-12-31,714,714
2015-02-27,dev,ok,33345,656,2003-01-29,2015-02-04,718,718
2015-03-31,dev,ok,34009,665,2003-01-29,2015-03-12,735,735
2015-04-30,dev,ok,34685,677,2003-01-29,2015-04-13,752,752
2015-05-29,dev,ok,35369,685,2003-01-29,2015-05-08,767,767
2015-06-30,dev,ok,36062,694,2003-01-29,2015-06-05,783,783
2015-07-31,dev,ok,36767,707,2003-01-29,2015-07-09,797,797
2015-08-31,dev,ok,37481,716,2003-01-29,2015-08-06,807,807
2015-09-30,dev,ok,38199,720,2003-01-29,2015-08-27,822,822
2015-10-30,dev,ok,38934,736,2003-01-29,2015-09-30,834,834
2015-11-30,dev,ok,39686,755,2003-01-29,2015-11-05,846,846
2015-12-31,dev,ok,40453,769,2003-01-29,2015-12-03,866,866
2016-01-29,dev,ok,41236,785,2003-01-29,2016-01-04,876,876
2016-02-29,dev,ok,42033,799,2003-01-29,2016-02-04,906,906
