rank_main,fund_code,fund_name,score_main,rank_style_neutral,style_neutral_score,rank_sector_neutral,sector_neutral_score,beta_mkt,beta_size,beta_金融地产,beta_消费,beta_医药,beta_科技,beta_制造,beta_周期,age_months,age_group,coverage,as_of
2041.0,009932,永赢稳健增长一年持有混合A,0.08306801337719816,647.0,0.16915532739173272,2381.0,0.0009703887339271855,0.20476576423033985,0.12279838047025532,0.14983784448945864,-0.008677474516448153,-0.11616076854298608,-0.004566802170353712,0.0675310882274959,0.06081782351059692,73.2,full,1.0,2026-09-17
2042.0,200007,长城安心回报混合A,0.08304226802837622,2378.0,0.010100881546670853,1571.0,0.04606522934525386,0.7008463885954529,0.8482134895139442,0.9183545172490001,-0.0663822658547723,0.03882213252498212,0.07016410191410605,0.21005074375494875,0.3309752951471999,240.9,full,1.0,2026-09-17
2043.0,009810,易方达悦通一年持有期混合A,0.08304156932212536,722.0,0.16146257368988967,1595.0,0.04440344016682704,0.24543805366853474,0.03335469103383801,0.2677978103910336,-0.0332207485323925,0.033678031677204845,0.00920775671019139,2.2137337876704244e-06,-0.027703340835340217,69.0,full,1.0,2026-09-17
2044.0,004756,国寿安保稳吉混合A,0.08292894621787084,750.0,0.1589447170595078,1626.0,0.04232709920436137,0.24328907261052346,0.1159851692384116,0.22723763678710496,-0.08381751156258,-0.0217509862847646,0.004931416741389083,-0.020938455820108337,0.09513733426274626,104.7,full,1.0,2026-09-17
2045.0,012991,大成民享安盈一年持有混合A,0.0828904664235588,505.0,0.18941333484134856,1702.0,0.03788149367372041,0.1342126140187749,0.08010791837448161,0.17770299959541286,-0.016277630798608334,-0.026816494007720224,0.007545524054251351,-0.008921825699648583,0.00879893810446552,54.2,full,1.0,2026-09-17
2046.0,013465,博时智选量化多因子股票A,0.08233548560361426,3139.0,-0.07056101636408274,2886.0,-0.02248374057319799,1.00921317556291,0.7752587321937376,0.9832359252184779,0.02153443606586708,-0.1224931454676424,0.08099953183339648,0.3476987634391169,0.42661213119069974,58.5,full,1.0,2026-09-17
2047.0,013603,易方达均衡优选一年持有混合A,0.08231861541525287,3250.0,-0.08141968938856459,3623.0,-0.07687120642410258,1.0800497902155346,0.5498948677651878,0.8690631898684209,-0.4295094614265328,-0.12428432306347698,0.01677018714656686,0.19794107443516612,0.06956619565489941,51.7,full,1.0,2026-09-17
2048.0,009391,汇添富优质成长混合A,0.0822826184164005,4126.0,-0.19306472260674462,4239.0,-0.16124564896103025,1.469750525976373,0.7505768636942329,1.0862973379051306,-0.5640961847855741,-0.39950335715894203,0.1449029485517438,0.2761949869636104,0.13454960637971658,75.8,full,1.0,2026-09-17
2049.0,000507,宏利宏达混合A,0.08225752489184979,759.0,0.15781387370503733,2003.0,0.02147401545084822,0.24706317893990265,0.10070084121987236,0.25817155337972936,0.002666294743027209,-0.09000410017552876,0.0479698682930387,0.017792661643813462,0.04272841464260382,150.4,full,1.0,2026-09-17
2050.0,007835,国泰鑫睿混合,0.08222842396479124,2530.0,-0.005376637553190025,1593.0,0.0445707443349363,0.7589363614449739,0.823430987605484,0.864535177446786,-0.23738388088933227,-0.12550399106933424,0.16402122218266724,0.04429426658451857,0.4644348057851661,82.1,full,1.0,2026-09-17
2051.0,023106,光大红利量化混合A,0.08221551021141682,985.0,0.13918544753485732,1207.0,0.07554940619926859,0.3457151271595883,-0.11648249347023648,0.7241931632916369,0.1930061160192174,0.1445750095147194,0.00560858920178664,-0.13940279723900334,-0.17868435496451854,17.8,short,1.0,2026-09-17
2052.0,010963,信澳周期动力混合A,0.08219948052542203,2314.0,0.016251754199711504,1507.0,0.05072749424097427,0.7155886003969096,0.5448908472035489,1.0754674449208246,-0.2959189885086956,0.018294944693334148,-0.018254635600655766,-0.2591599570113632,0.16291977477919384,68.6,full,1.0,2026-09-17
2053.0,024443,华夏瑞享回报混合A,0.08197362462719537,1946.0,0.056579558197434106,1299.0,0.06744261706028637,0.637101277306638,0.0034089529839302912,0.8190714394548668,0.09901269672375995,0.06740905074769221,0.12853823245881746,-0.07187491890172237,-0.040250821993086786,14.9,short,0.9644,2026-09-17
2054.0,420001,天弘精选混合A,0.08185910301176591,1859.0,0.0657157102701024,858.0,0.117591443837919,0.5668543467081069,0.2685027624903309,0.8957573294539463,-0.017657285669964717,0.19896137227484267,0.013670983199126685,-0.1520142461723628,0.17471333704548403,251.3,full,1.0,2026-09-17
2055.0,011212,富国稳健策略6个月持有混合A,0.08185825056839646,3093.0,-0.06531267719188871,3373.0,-0.05435533247802271,1.032478937367177,0.4438076393754752,0.9674869364711493,-0.432247802479165,-0.1564432104329142,0.02717557432608253,-0.011254202735367147,0.08585825707641258,67.2,full,1.0,2026-09-17
2056.0,010861,长信企业优选一年持有混合,0.08170641942873424,2201.0,0.028842194991858194,771.0,0.12918817988906128,0.6914538377420041,0.36138446778756095,0.872577746614423,-0.2436961160919363,0.16360935446889174,0.15431377116973466,-0.1270936547060999,0.24173545577217653,66.3,full,1.0,2026-09-17
2057.0,010984,国寿安保稳安混合A,0.0814672262735261,821.0,0.1513865862430483,2516.0,-0.005542223184249656,0.2670911225922531,0.10827151817816466,0.22394553272421464,-0.007416225699722306,-0.10443441594790809,-0.0455258359164199,0.03651287893228777,0.06433047701789571,64.4,full,1.0,2026-09-17
2058.0,010333,华夏核心资产混合A,0.08142931756137095,2994.0,-0.054116266791115725,3450.0,-0.06058204433037595,0.9869114322152576,0.4598458358575782,0.9306632731616358,-0.09329767887720791,-0.23507945425870302,0.09046192012290799,0.13998388496189118,0.1773865247749641,67.6,full,1.0,2026-09-17
2059.0,018626,富国兴享回报6个月持有期混合A,0.0814133374341024,869.0,0.14706349320263926,2251.0,0.007333203492210949,0.26846588426344253,0.21641213940291765,0.2556186758542421,-0.07609930649589366,-0.0631148470512699,-0.004192448878997473,0.06619309537405482,0.039698361702034966,37.8,full,1.0,2026-09-17
2060.0,010738,大成优选升级一年持有混合A,0.08136575151149605,1648.0,0.08677196803516385,551.0,0.17071871796032037,0.5174254934237583,0.03809665906199444,0.7165940624583662,-0.11381567486891314,0.14198316264425007,0.34421329101491727,-0.1985439325146253,0.09900579427300484,68.8,full,1.0,2026-09-17
2061.0,016676,南方君誉混合A,0.08132570231308467,1862.0,0.06546386491006044,2333.0,0.003077062979804812,0.5918360526738805,0.07522646666145483,0.75570840210211,-0.0854516135295465,-0.15510750630378106,0.05045710382895818,-0.18627895847379167,0.04194454047338491,46.1,full,1.0,2026-09-17
2062.0,010694,万家内需增长一年持有混合,0.08115571818942291,3125.0,-0.06827182987729913,4009.0,-0.12180503936116838,0.9545136176969988,1.0852003537280732,0.838992412073329,0.051468866674517,-0.6001718997095646,0.21151983770894867,0.4192907422219695,0.6247652893674976,66.5,full,1.0,2026-09-17
2063.0,022211,人保红利智享混合A,0.08115066519127456,782.0,0.1551460878607321,974.0,0.10155302584388241,0.2982908226788603,-0.23635702645050238,0.6968707089020104,0.19450802699616357,0.2198814207686317,0.0031178495446456678,-0.1962300768258268,-0.22419286034593677,21.5,short,1.0,2026-09-17
2064.0,012214,民生加银核心资产股票A,0.08102830709215736,1123.0,0.1281436277745624,765.0,0.12975348355968022,0.3847007140290073,-0.13274124357636663,0.6818813729361388,-0.07293415886377802,0.27428061037900364,0.03600328775138112,-0.24922831039398707,-0.1372662330784964,58.4,full,1.0,2026-09-17
2065.0,021973,天弘优势企业混合发起A,0.08102281519632948,1858.0,0.06589916456212219,1116.0,0.08614361616348495,0.5358801571001378,0.47019549466141036,0.8924168649254804,0.007508530169545058,-0.0676880764574358,0.05639640522746908,-0.22106249176716003,0.4311699240860913,25.0,short,1.0,2026-09-17
2066.0,010610,摩根远见两年持有期混合,0.08098012126464171,4121.0,-0.1922013814823581,3956.0,-0.1144632572038245,1.5155199455097341,0.35073221029080504,1.1405416220855045,-0.38821774391306874,-0.16161427861868038,0.005424745957374855,0.2801915065462429,0.17325387912588225,68.2,full,1.0,2026-09-17
2067.0,004671,国联核心成长,0.08097035960505039,2999.0,-0.05439139377251884,2678.0,-0.012595037612217988,0.9403340948087849,0.8005531714525361,0.8895353025637213,-0.16941528863051414,-0.11379316323713218,-0.011197067871210331,0.18499467817068777,0.5100153256973525,107.6,full,1.0,2026-09-17
2068.0,000993,华宝稳健回报混合,0.08092153786550949,2964.0,-0.05011224157530031,4055.0,-0.1282293719073882,1.0291866152594755,0.02091049543290624,0.7471583278385308,-0.19503817768368203,-0.10158985339908122,-0.11178990200204103,0.252466758584012,-0.19967273333008123,137.7,full,1.0,2026-09-17
2069.0,025599,国泰海通新锐量化选股混合C,0.08071116436786951,2460.0,0.0012666663823745483,1191.0,0.07683112888025487,0.6833150423759056,1.158644883738226,0.9311877104875619,-0.09748813748115875,0.16657882327846804,0.04576399387939245,0.3847387635946755,0.5144338363795093,46.6,full,0.996,2026-09-17
2070.0,017549,平安策略回报混合A,0.08051864036659362,4059.0,-0.18390828065080744,4675.0,-0.29736211787345945,1.407363754301826,0.9110273430993769,0.9130182392239545,-0.47623419050624116,-0.707117987505322,0.03855700330474843,0.43663383151429586,0.10630919563404533,37.1,full,1.0,2026-09-17
2071.0,001815,华泰柏瑞激励动力混合A,0.08027487585783422,3770.0,-0.14501410337060477,4467.0,-0.21759661990486556,1.2342557553696,1.1112814691496866,0.8377865545981981,-0.6023779610512383,-0.37416169610234384,-0.10603923104442081,0.4778853378649762,0.18595708153459412,130.7,full,1.0,2026-09-17
2072.0,011554,海富通欣利混合A,0.0802539787302563,858.0,0.14790367116368375,1214.0,0.07467207603785136,0.2776839995194285,0.09254478999175841,0.43276314686355183,0.040769176362696335,0.07029825386414368,0.030355073921085884,-0.05700666588878939,0.06019527832538954,60.1,full,1.0,2026-09-17
2073.0,001780,诺安改革趋势混合A,0.08020238493073895,2792.0,-0.032153826458582696,3626.0,-0.07710158744908441,0.8769818962600983,0.6331577992847918,0.8676235057804016,-0.2034594108684316,-0.21985846728379488,0.05106424088711348,0.17979265071886025,0.09791878276331613,108.6,full,1.0,2026-09-17
2074.0,002133,广发鑫益混合,0.08007925179444975,2832.0,-0.035631611246499176,2113.0,0.014827725979843914,0.955602456539436,0.1424512930590507,0.7833138488662374,-0.3747246406709919,0.11870434111577216,0.0791300010561537,0.08538362891673318,-0.07661629637892228,118.0,full,1.0,2026-09-17
2075.0,009043,九泰久信量化股票,0.07987797505027272,1550.0,0.09465974116156191,1115.0,0.0862009805615735,0.503590284820663,-0.11908783174198312,0.8031336658177358,-0.04860804796350074,0.1286021755965242,0.05490010345987384,-0.2780991886076628,-0.1317042315361212,75.9,full,1.0,2026-09-17
2076.0,022846,富国景气优选混合A,0.07980025195438589,4260.0,-0.2160344264495433,4638.0,-0.2801654677076414,1.5614670396743144,0.6375800064570278,0.9920869210229724,-0.49074323177754986,-0.44377128734271487,-0.08782998829170763,0.5307880423378701,-0.006460750583100985,18.0,short,1.0,2026-09-17
2077.0,010640,财通稳进回报6个月持有混合A,0.07965356495726028,593.0,0.17622409424435245,1445.0,0.05511341255625839,0.1661836570477229,0.1186361074930958,0.2440309548432475,0.0515841856427829,0.07494749682044262,-0.00704708624976208,0.05919631274695911,0.020113061010765022,58.2,full,1.0,2026-09-17
