rank,fund_code,fund_name,score,age_months,age_group,coverage,as_of
1223,005517,富国新趋势灵活配置混合A,-0.11960651014760215,102.1,full,1.0,2026-09-15
1224,012234,华安聚弘精选混合A,-0.12196224530905764,60.6,full,1.0,2026-09-15
1225,017132,中银新能源产业股票A,-0.12317514648832029,38.2,full,1.0,2026-09-15
1226,001392,国富金融地产混合A,-0.12351133281407056,135.2,full,1.0,2026-09-15
1227,009098,景顺长城价值领航两年持有,-0.12356991046744947,77.8,full,1.0,2026-09-15
1228,008371,华安汇智精选两年持有混合,-0.1277113153194801,80.9,full,1.0,2026-09-15
1229,008227,宝盈研究精选混合A,-0.12817137198347728,80.7,full,1.0,2026-09-15
1230,014114,广发沪港深医药混合A,-0.12961327871567307,56.5,full,1.0,2026-09-15
1231,004099,前海开源沪港深景气行业精选混合,-0.1296342865588449,112.3,full,1.0,2026-09-15
1232,016725,农银品质农业股票A,-0.13030808836901797,45.8,full,1.0,2026-09-15
1233,001801,汇添富达欣混合A,-0.13081391173318702,129.4,full,1.0,2026-09-15
1234,001127,中银宏观策略混合A,-0.13099089562141286,137.2,full,1.0,2026-09-15
1235,320022,诺安研究精选股票A,-0.1330843028966625,165.2,full,1.0,2026-09-15
1236,005911,广发双擎升级混合A,-0.13313297984096661,94.4,full,1.0,2026-09-15
1237,002132,广发鑫享灵活配置混合A,-0.13393906292899027,128.0,full,1.0,2026-09-15
1238,002020,国都创新驱动,-0.13475671566074787,128.6,full,1.0,2026-09-15
1239,001197,长盛转型升级主题灵活配置混合,-0.13514342781701005,136.8,full,1.0,2026-09-15
1240,006274,圆信永丰医药健康A,-0.13600588253774804,93.5,full,1.0,2026-09-15
1241,163001,长信医疗保健混合(LOF)A,-0.13831713363799236,197.7,full,1.0,2026-09-15
1242,210005,金鹰主题优势混合,-0.13855354290165212,188.8,full,1.0,2026-09-15
1243,012770,光大创新生活混合A,-0.13867768750086884,58.2,full,1.0,2026-09-15
1244,000083,汇添富消费行业混合,-0.13931728814973154,160.4,full,1.0,2026-09-15
1245,217012,招商行业领先混合A,-0.13974084877686888,206.9,full,1.0,2026-09-15
1246,009909,嘉实动力先锋混合A,-0.14029788885876482,69.7,full,1.0,2026-09-15
1247,001056,华银健康生活主题灵活配置,-0.14083509781669235,137.7,full,1.0,2026-09-15
1248,010112,广发研究精选股票A,-0.14288188699339155,70.3,full,1.0,2026-09-15
1249,016375,招商裕泰混合,-0.1434031823180678,45.0,full,1.0,2026-09-15
1250,001417,汇添富医疗服务灵活配置混合A,-0.14542964314320994,134.9,full,1.0,2026-09-15
1251,016588,富国融甄混合A,-0.14554256575874314,47.6,full,1.0,2026-09-15
1252,162107,金鹰先进制造股票(LOF)A,-0.1460535133352614,171.3,full,1.0,2026-09-15
1253,009007,兴全沪港深两年持有混合,-0.14724802089849265,75.8,full,1.0,2026-09-15
1254,090020,大成健康产业混合A,-0.14866544084855104,168.6,full,1.0,2026-09-15
1255,350002,天治低碳经济混合,-0.14896057596090817,260.1,full,1.0,2026-09-15
1256,519020,国泰金泰灵活配置混合A,-0.14896519346156634,163.5,full,1.0,2026-09-15
1257,206007,鹏华消费优选混合,-0.14946535231291858,188.6,full,1.0,2026-09-15
1258,001320,工银丰盈回报灵活配置混合A,-0.14955458714994474,135.8,full,1.0,2026-09-15
1259,270050,广发新经济混合A,-0.1505813282004299,163.3,full,1.0,2026-09-15
1260,001765,前海开源嘉鑫混合A,-0.15093074434176024,116.6,full,1.0,2026-09-15
1261,011589,九泰天利量化A,-0.15181239259003876,59.1,full,1.0,2026-09-15
1262,007893,平安估值精选混合A,-0.1534536862985585,76.8,full,1.0,2026-09-15
1263,008303,宝盈龙头优选股票A,-0.15345576215728984,77.7,full,1.0,2026-09-15
1264,001209,前海开源一带一路混合A,-0.15513248671037883,136.6,full,1.0,2026-09-15
1265,011783,泓德睿源三年持有期混合,-0.15719679761546212,64.8,full,1.0,2026-09-15
1266,213006,宝盈核心优势混合A,-0.15917285277493087,210.0,full,1.0,2026-09-15
1267,010213,中欧互联网先锋混合A,-0.15929649139784696,71.1,full,1.0,2026-09-15
1268,003581,前海联合国民健康混合A,-0.15976706366875748,116.5,full,1.0,2026-09-15
1269,260109,景顺长城内需增长贰号混合A,-0.1599645002855825,239.1,full,1.0,2026-09-15
1270,240001,华宝宝康消费品,-0.1608566192832469,278.0,full,1.0,2026-09-15
1271,012244,广发金融地产精选股票A,-0.16148933639674434,62.6,full,1.0,2026-09-15
1272,398001,中海优质成长混合,-0.1621571553283857,263.6,full,1.0,2026-09-15
1273,010969,华夏安阳6个月持有期混合A,-0.1635342757311371,65.5,full,1.0,2026-09-15
1274,009869,嘉实产业先锋混合A,-0.16359065249556504,73.8,full,1.0,2026-09-15
1275,006981,中金新医药股票A,-0.16399769266119057,88.1,full,1.0,2026-09-15
1276,004266,招商沪港深科技创新混合A,-0.16502433652914783,112.7,full,1.0,2026-09-15
1277,017199,广发ESG责任投资混合A,-0.165255964472365,43.9,full,1.0,2026-09-15
1278,018048,申万菱信数字产业股票型发起式A,-0.16588975687103968,40.4,full,1.0,2026-09-15
1279,005409,华泰柏瑞新兴产业混合A,-0.16592259830519507,104.0,full,1.0,2026-09-15
1280,001294,新华战略新兴产业灵活配置混合,-0.1662029990019661,134.6,full,1.0,2026-09-15
1281,004851,广发医疗保健股票A,-0.16706949103482727,109.2,full,1.0,2026-09-15
1282,018364,银华医疗健康混合A,-0.16732366217576866,36.3,full,1.0,2026-09-15
1283,009898,民生加银医药健康股票A,-0.16826209399221514,72.6,full,1.0,2026-09-15
1284,002408,中信建投医改混合A,-0.1693310732152985,125.3,full,1.0,2026-09-15
1285,001298,金鹰民族新兴混合A,-0.1694490786631201,135.5,full,1.0,2026-09-15
1286,000757,华富智慧城市灵活配置混合A,-0.17051037244211475,142.5,full,1.0,2026-09-15
1287,010709,安信医药健康股票A,-0.17173976969639781,68.1,full,1.0,2026-09-15
1288,005505,前海开源中药股票A,-0.17338151291000092,101.8,full,1.0,2026-09-15
1289,010949,景顺长城研究驱动三年持有混合,-0.17378553019591703,53.3,full,1.0,2026-09-15
1290,610004,信澳中小盘混合A,-0.1746138830620697,201.5,full,1.0,2026-09-15
1291,002378,建信弘利灵活配置混合A,-0.1746180585475533,127.3,full,1.0,2026-09-15
1292,260108,景顺长城新兴成长混合A,-0.17479921786907293,242.6,full,1.0,2026-09-15
1293,000727,融通健康产业灵活配置混合A/B,-0.17486646575853804,140.7,full,1.0,2026-09-15
1294,007182,万家沪港深蓝筹混合A,-0.175010976036591,58.4,full,1.0,2026-09-15
1295,016287,大成消费机遇混合A,-0.17577191987412288,45.9,full,1.0,2026-09-15
1296,013009,万家港股通精选混合A,-0.17584384687409393,56.3,full,1.0,2026-09-15
1297,519710,交银策略回报灵活配置混合,-0.17687271518479986,170.8,full,1.0,2026-09-15
1298,018818,鑫元数字经济混合发起式A,-0.17691538374590643,37.7,full,1.0,2026-09-15
1299,008985,东方红启东三年持有混合,-0.17697572871502487,78.0,full,1.0,2026-09-15
1300,110023,易方达医疗保健行业混合A,-0.17741583233694358,187.6,full,1.0,2026-09-15
1301,007412,景顺长城绩优成长混合A,-0.17791878854190168,86.5,full,1.0,2026-09-15
1302,000767,华富国泰民安灵活配置混合A,-0.1791931071710946,139.3,full,1.0,2026-09-15
1303,160322,华夏港股通精选股票发起式(LOF)A,-0.18046816393216936,118.1,full,1.0,2026-09-15
1304,010429,中欧睿见混合A,-0.18202098144369572,70.3,full,1.0,2026-09-15
1305,008075,招商核心优选股票A,-0.18276049488647061,81.0,full,1.0,2026-09-15
1306,001068,国新国证新锐A,-0.18341756230977446,137.0,full,1.0,2026-09-15
1307,001229,德邦福鑫灵活配置混合A,-0.18411135144334623,136.6,full,1.0,2026-09-15
1308,014841,东方阿尔法医疗健康混合发起A,-0.18428739840489694,53.6,full,1.0,2026-09-15
1309,009875,天弘甄选食品饮料股票A,-0.18477198356455582,72.8,full,1.0,2026-09-15
1310,012354,南方新能源产业趋势混合A,-0.18492156233863455,60.7,full,1.0,2026-09-15
1311,040005,华安宏利混合A,-0.1850092910682033,240.3,full,1.0,2026-09-15
1312,009958,长安鑫悦消费混合A,-0.1860479614180265,71.9,full,1.0,2026-09-15
1313,004995,广发品牌消费股票发起式A,-0.18664832375921914,105.0,full,1.0,2026-09-15
1314,015026,鹏华增华混合A,-0.18724119181666388,49.0,full,1.0,2026-09-15
1315,000913,农银医疗保健股票,-0.1891734436888265,139.1,full,1.0,2026-09-15
